frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
323,2,0,0,2,,c17|c18,0.429
324,2,0,0,2,,c17|c18,0.429
325,2,0,0,2,,c17|c18,0.429
326,2,0,0,2,,c17|c18,0.429
327,2,0,0,2,,c17|c18,0.429
328,2,0,0,2,,c17|c18,0.429
329,1,0,0,1,,c18,0.429
330,1,0,0,1,,c18,0.429
331,1,0,0,1,,c18,0.429
332,1,0,0,1,,c18,0.429
333,2,0,0,2,,c18|c19,0.678
334,2,0,0,2,,c18|c19,0.678
335,1,0,0,1,,c19,0.926
336,1,0,0,1,,c19,0.926
337,1,0,0,1,,c19,0.926
338,1,0,0,1,,c19,0.926
339,1,0,0,1,,c19,0.926
340,1,0,0,1,,c19,0.926
341,1,0,0,1,,c19,0.926
342,1,0,0,1,,c19,0.926
343,1,0,0,1,,c19,0.926
344,1,0,0,1,,c19,0.926
345,1,0,0,1,,c19,0.926
346,1,0,0,1,,c19,0.926
347,1,0,0,1,,c19,0.926
348,1,0,0,1,,c19,0.926
349,1,0,0,1,,c19,0.926
350,1,0,0,1,,c19,0.926
351,1,0,0,1,,c19,0.926
352,1,0,0,1,,c19,0.926
353,1,0,0,1,,c19,0.926
354,1,0,0,1,,c19,0.926
355,1,0,0,1,,c19,0.926
356,1,0,0,1,,c19,0.926
357,1,0,0,1,,c19,0.926
358,1,0,0,1,,c19,0.926
359,1,0,0,1,,c19,0.926
360,1,0,0,1,,c19,0.926
361,1,0,0,1,,c19,0.926
362,1,0,0,1,,c19,0.926
363,1,0,0,1,,c19,0.926
364,1,0,0,1,,c19,0.926
365,1,0,0,1,,c19,0.926
366,1,0,0,1,,c19,0.926
367,1,0,0,1,,c19,0.926
368,1,0,0,1,,c19,0.926
369,1,0,0,1,,c19,0.926
370,1,0,0,1,,c19,0.926
371,1,0,0,1,,c19,0.926
372,1,0,0,1,,c19,0.926
373,1,0,0,1,,c19,0.926
374,1,0,0,1,,c19,0.926
375,1,0,0,1,,c19,0.926
376,1,0,0,1,,c19,0.926
377,1,0,0,1,,c19,0.926
378,1,0,0,1,,c19,0.926
379,1,0,0,1,,c19,0.926
380,1,0,0,1,,c19,0.926
381,1,0,0,1,,c19,0.926
382,1,0,0,1,,c19,0.926
383,0,0,0,0,,,0.000
384,0,0,0,0,,,0.000
385,0,0,0,0,,,0.000
386,0,0,0,0,,,0.000
387,0,0,0,0,,,0.000
388,0,0,0,0,,,0.000
389,0,0,0,0,,,0.000
390,0,0,0,0,,,0.000
391,1,0,0,1,,c19,0.926
392,1,0,0,1,,c19,0.926
393,1,0,0,1,,c19,0.926
394,1,0,0,1,,c19,0.926
395,1,0,0,1,,c19,0.926
396,1,0,0,1,,c19,0.926
397,1,0,0,1,,c19,0.926
398,1,0,0,1,,c19,0.926
399,2,0,0,2,,c19|c20,0.925
400,2,0,0,2,,c19|c20,0.925
401,2,0,0,2,,c19|c20,0.925
402,2,0,0,2,,c19|c20,0.925
403,2,0,0,2,,c19|c20,0.925
404,2,0,0,2,,c19|c20,0.925
405,2,0,0,2,,c19|c20,0.925
406,2,0,0,2,,c19|c20,0.925
407,2,0,0,2,,c19|c20,0.925
408,2,0,0,2,,c19|c20,0.925
409,2,0,0,2,,c19|c20,0.925
410,2,0,0,2,,c19|c20,0.925
411,3,0,0,3,,c19|c20|c21,0.938
412,3,0,0,3,,c19|c20|c21,0.938
413,3,0,0,3,,c19|c20|c21,0.938
414,3,0,0,3,,c19|c20|c21,0.938
415,3,0,0,3,,c19|c20|c21,0.938
416,3,0,0,3,,c19|c20|c21,0.938
417,3,0,0,3,,c19|c20|c21,0.938
418,3,0,0,3,,c19|c20|c21,0.938
419,3,0,0,3,,c19|c20|c21,0.938
420,3,0,0,3,,c19|c20|c21,0.938
421,3,0,0,3,,c19|c20|c21,0.938
422,3,0,0,3,,c19|c20|c21,0.938
423,3,0,0,3,,c19|c20|c21,0.938
424,3,0,0,3,,c19|c20|c21,0.938
425,4,0,0,4,,c19|c20|c21|c22,0.811
426,4,0,0,4,,c19|c20|c21|c22,0.811
427,4,0,0,4,,c19|c20|c21|c22,0.811
428,4,0,0,4,,c19|c20|c21|c22,0.811
429,3,0,0,3,,c19|c20|c21,0.938
430,3,0,0,3,,c19|c20|c21,0.938
431,3,0,0,3,,c19|c20|c21,0.938
432,3,0,0,3,,c19|c20|c21,0.938
433,3,0,0,3,,c19|c20|c21,0.938
434,3,0,0,3,,c19|c20|c21,0.938
435,3,0,0,3,,c19|c20|c21,0.938
436,3,0,0,3,,c19|c20|c21,0.938
437,3,0,0,3,,c19|c20|c21,0.938
438,3,0,0,3,,c19|c20|c21,0.938
439,3,0,0,3,,c19|c20|c21,0.938
440,3,0,0,3,,c19|c20|c21,0.938
441,3,0,0,3,,c19|c20|c21,0.938
442,3,0,0,3,,c19|c20|c21,0.938
443,3,0,0,3,,c19|c20|c21,0.938
444,3,0,0,3,,c19|c20|c21,0.938
445,3,0,0,3,,c19|c20|c21,0.938
446,3,0,0,3,,c19|c20|c21,0.938
447,3,0,0,3,,c19|c20|c21,0.938
