frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
152,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL
153,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL
154,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL
155,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL
156,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL
157,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL
158,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL
159,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL
160,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL
161,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL
162,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL
163,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL
164,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL
165,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.72,True,True,True,TWO_BALL
166,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.804,True,True,True,MIXED_3+
167,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
168,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
169,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
170,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
171,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
172,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
173,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL
