frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
237,4,0,0,4,0.698,MIXED_3+,0.698
238,4,0,1,4,0.698,MIXED_3+,0.698
239,3,0,0,3,0.651,MIXED_3+,0.651
240,3,0,0,3,0.651,MIXED_3+,0.651
241,3,0,0,3,0.651,MIXED_3+,0.651
242,3,0,0,3,0.651,MIXED_3+,0.651
243,3,0,0,3,0.651,MIXED_3+,0.651
244,3,0,0,3,0.651,MIXED_3+,0.651
245,3,0,0,3,0.651,MIXED_3+,0.651
246,3,0,0,3,0.651,MIXED_3+,0.651
247,4,0,0,4,0.642,MIXED_3+,0.642
248,4,0,0,4,0.642,MIXED_3+,0.642
249,4,0,0,4,0.642,MIXED_3+,0.642
250,4,0,0,4,0.642,MIXED_3+,0.642
251,4,0,0,4,0.642,MIXED_3+,0.642
252,4,0,0,4,0.642,MIXED_3+,0.642
253,4,0,0,4,0.642,MIXED_3+,0.642
254,4,0,0,4,0.642,MIXED_3+,0.642
255,5,0,1,5,0.682,MIXED_3+,0.682
256,5,1,0,5,0.682,CASCADE_3+,0.682
257,4,0,0,4,0.681,CASCADE_3+,0.681
258,4,0,0,4,0.681,CASCADE_3+,0.681
259,4,0,0,4,0.681,CASCADE_3+,0.681
260,4,0,0,4,0.681,CASCADE_3+,0.681
261,4,0,0,4,0.681,CASCADE_3+,0.681
262,4,0,0,4,0.681,CASCADE_3+,0.681
263,4,0,0,4,0.681,CASCADE_3+,0.681
264,4,0,0,4,0.681,CASCADE_3+,0.681
265,4,0,0,4,0.681,CASCADE_3+,0.681
266,4,0,0,4,0.681,CASCADE_3+,0.681
267,5,1,0,5,0.682,MIXED_3+,0.682
268,5,0,0,5,0.682,MIXED_3+,0.682
269,5,0,0,5,0.682,MIXED_3+,0.682
270,5,0,0,5,0.682,MIXED_3+,0.682
271,5,0,0,5,0.682,MIXED_3+,0.682
272,5,0,0,5,0.682,MIXED_3+,0.682
273,5,0,0,5,0.682,MIXED_3+,0.682
274,5,0,0,5,0.682,MIXED_3+,0.682
275,5,0,0,5,0.682,MIXED_3+,0.682
276,5,0,0,5,0.682,MIXED_3+,0.682
277,5,0,0,5,0.682,MIXED_3+,0.682
278,5,0,0,5,0.682,MIXED_3+,0.682
279,5,0,0,5,0.682,MIXED_3+,0.682
280,5,0,0,5,0.682,MIXED_3+,0.682
281,5,0,0,5,0.682,MIXED_3+,0.682
282,5,0,0,5,0.682,MIXED_3+,0.682
283,5,0,0,5,0.682,MIXED_3+,0.682
284,5,0,0,5,0.682,MIXED_3+,0.682
285,5,0,0,5,0.682,MIXED_3+,0.682
286,5,0,0,5,0.682,MIXED_3+,0.682
287,5,0,0,5,0.682,MIXED_3+,0.682
288,5,0,0,5,0.682,MIXED_3+,0.682
289,5,0,0,5,0.682,MIXED_3+,0.682
290,5,0,0,5,0.682,MIXED_3+,0.682
291,5,0,0,5,0.682,MIXED_3+,0.682
292,5,0,0,5,0.682,MIXED_3+,0.682
293,5,0,0,5,0.682,MIXED_3+,0.682
294,5,0,0,5,0.682,MIXED_3+,0.682
295,5,0,0,5,0.682,MIXED_3+,0.682
296,5,0,0,5,0.682,MIXED_3+,0.682
297,5,0,0,5,0.682,MIXED_3+,0.682
298,5,0,0,5,0.682,MIXED_3+,0.682
299,5,0,1,5,0.682,CASCADE_3+,0.682
300,4,0,0,4,0.698,CASCADE_3+,0.698
301,4,0,0,4,0.698,CASCADE_3+,0.698
302,4,0,0,4,0.698,CASCADE_3+,0.698
303,4,0,0,4,0.698,CASCADE_3+,0.698
304,4,0,0,4,0.698,CASCADE_3+,0.698
305,4,0,0,4,0.698,CASCADE_3+,0.698
306,4,0,0,4,0.698,CASCADE_3+,0.698
307,4,0,0,4,0.698,CASCADE_3+,0.698
308,5,0,1,5,0.682,MIXED_3+,0.682
309,5,0,0,5,0.682,MIXED_3+,0.682
310,4,0,0,4,0.642,MIXED_3+,0.642
311,4,0,0,4,0.642,MIXED_3+,0.642
312,4,0,0,4,0.642,MIXED_3+,0.642
313,4,0,0,4,0.642,MIXED_3+,0.642
314,4,0,0,4,0.642,MIXED_3+,0.642
315,4,0,0,4,0.642,MIXED_3+,0.642
316,4,0,0,4,0.642,MIXED_3+,0.642
317,4,0,0,4,0.642,MIXED_3+,0.642
318,4,0,0,4,0.642,MIXED_3+,0.642
319,4,0,0,4,0.642,MIXED_3+,0.642
320,4,0,0,4,0.642,MIXED_3+,0.642
321,4,0,0,4,0.642,MIXED_3+,0.642
322,4,0,0,4,0.642,MIXED_3+,0.642
323,4,0,0,4,0.642,MIXED_3+,0.642
324,4,0,0,4,0.642,MIXED_3+,0.642
325,4,0,0,4,0.642,MIXED_3+,0.642
326,4,0,0,4,0.642,MIXED_3+,0.642
327,4,0,1,4,0.642,MIXED_3+,0.642
328,3,0,0,3,0.628,MIXED_3+,0.628
329,4,0,0,4,0.64,MIXED_3+,0.64
330,4,0,0,4,0.64,MIXED_3+,0.64
331,4,0,0,4,0.64,MIXED_3+,0.64
332,4,0,0,4,0.64,MIXED_3+,0.64
333,4,0,0,4,0.64,MIXED_3+,0.64
334,4,0,0,4,0.64,MIXED_3+,0.64
335,4,0,0,4,0.64,MIXED_3+,0.64
336,4,0,0,4,0.64,MIXED_3+,0.64
337,4,0,0,4,0.64,MIXED_3+,0.64
338,4,0,0,4,0.64,MIXED_3+,0.64
339,5,0,1,5,0.649,FOUNTAIN_3+,0.649
340,5,0,0,5,0.649,FOUNTAIN_3+,0.649
341,5,0,0,5,0.649,FOUNTAIN_3+,0.649
342,5,0,0,5,0.649,FOUNTAIN_3+,0.649
343,5,0,0,5,0.649,FOUNTAIN_3+,0.649
344,5,0,0,5,0.649,FOUNTAIN_3+,0.649
