frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
160,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
161,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
162,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
163,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
164,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
165,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
166,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
167,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
168,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
169,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
170,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
171,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
172,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
173,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
174,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
175,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
176,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
177,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
178,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
179,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
180,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
181,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
182,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
183,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
