frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
165,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
166,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
167,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
168,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
169,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
170,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
171,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
172,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
173,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
174,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
175,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
176,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
177,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
178,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
179,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
180,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
181,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
182,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
183,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
184,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
185,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
186,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
187,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
188,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
189,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
190,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
191,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
192,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
193,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
194,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
195,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
196,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
197,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
198,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
199,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
200,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
201,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
202,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
203,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
204,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
205,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
206,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
207,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
208,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
209,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
210,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
211,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
212,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
213,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
214,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
215,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
216,MIXED_3+_UNCONFIRMED,0.25,4,0,0,2,False,low_slope_ratio=0.50
