frame,pattern,confidence,new_pattern
311,MIXED_3+,0.728,MIXED_3+
312,MIXED_3+,0.728,MIXED_3+
313,TWO_BALL,0.935,TWO_BALL
314,TWO_BALL,0.935,TWO_BALL
315,TWO_BALL,0.935,TWO_BALL
316,TWO_BALL,0.935,TWO_BALL
317,TWO_BALL,0.935,TWO_BALL
318,TWO_BALL,0.935,TWO_BALL
319,TWO_BALL,0.935,TWO_BALL
320,TWO_BALL,0.935,TWO_BALL
321,TWO_BALL,0.935,TWO_BALL
322,TWO_BALL,0.935,TWO_BALL
323,TWO_BALL,0.935,TWO_BALL
324,TWO_BALL,0.935,TWO_BALL
325,TWO_BALL,0.935,TWO_BALL
326,TWO_BALL,0.935,TWO_BALL
327,TWO_BALL,0.935,TWO_BALL
328,TWO_BALL,0.935,TWO_BALL
329,SINGLE_BALL,0.911,SINGLE_BALL
330,SINGLE_BALL,0.911,SINGLE_BALL
331,SINGLE_BALL,0.911,SINGLE_BALL
332,SINGLE_BALL,0.911,SINGLE_BALL
333,TWO_BALL,0.757,TWO_BALL
334,TWO_BALL,0.757,TWO_BALL
335,SINGLE_BALL,0.602,SINGLE_BALL
336,SINGLE_BALL,0.602,SINGLE_BALL
337,SINGLE_BALL,0.602,SINGLE_BALL
338,SINGLE_BALL,0.602,SINGLE_BALL
339,SINGLE_BALL,0.602,SINGLE_BALL
340,SINGLE_BALL,0.602,SINGLE_BALL
341,SINGLE_BALL,0.602,SINGLE_BALL
342,SINGLE_BALL,0.602,SINGLE_BALL
343,SINGLE_BALL,0.602,SINGLE_BALL
344,SINGLE_BALL,0.602,SINGLE_BALL
345,SINGLE_BALL,0.602,SINGLE_BALL
346,SINGLE_BALL,0.602,SINGLE_BALL
347,SINGLE_BALL,0.602,SINGLE_BALL
348,SINGLE_BALL,0.602,SINGLE_BALL
349,SINGLE_BALL,0.602,SINGLE_BALL
350,SINGLE_BALL,0.602,SINGLE_BALL
351,SINGLE_BALL,0.602,SINGLE_BALL
352,SINGLE_BALL,0.602,SINGLE_BALL
353,SINGLE_BALL,0.602,SINGLE_BALL
354,SINGLE_BALL,0.602,SINGLE_BALL
355,SINGLE_BALL,0.602,SINGLE_BALL
356,SINGLE_BALL,0.602,SINGLE_BALL
357,SINGLE_BALL,0.602,SINGLE_BALL
358,SINGLE_BALL,0.602,SINGLE_BALL
359,SINGLE_BALL,0.602,SINGLE_BALL
360,SINGLE_BALL,0.602,SINGLE_BALL
361,SINGLE_BALL,0.602,SINGLE_BALL
362,SINGLE_BALL,0.602,SINGLE_BALL
363,SINGLE_BALL,0.602,SINGLE_BALL
364,SINGLE_BALL,0.602,SINGLE_BALL
365,SINGLE_BALL,0.602,SINGLE_BALL
366,SINGLE_BALL,0.602,SINGLE_BALL
367,SINGLE_BALL,0.602,SINGLE_BALL
368,SINGLE_BALL,0.602,SINGLE_BALL
369,SINGLE_BALL,0.602,SINGLE_BALL
370,SINGLE_BALL,0.602,SINGLE_BALL
371,SINGLE_BALL,0.602,SINGLE_BALL
372,SINGLE_BALL,0.602,SINGLE_BALL
373,SINGLE_BALL,0.602,SINGLE_BALL
374,SINGLE_BALL,0.602,SINGLE_BALL
375,SINGLE_BALL,0.602,SINGLE_BALL
376,SINGLE_BALL,0.602,SINGLE_BALL
377,SINGLE_BALL,0.602,SINGLE_BALL
378,SINGLE_BALL,0.602,SINGLE_BALL
379,SINGLE_BALL,0.602,SINGLE_BALL
380,SINGLE_BALL,0.602,SINGLE_BALL
381,SINGLE_BALL,0.602,SINGLE_BALL
382,SINGLE_BALL,0.602,SINGLE_BALL
391,SINGLE_BALL,0.602,SINGLE_BALL
392,SINGLE_BALL,0.602,SINGLE_BALL
393,SINGLE_BALL,0.602,SINGLE_BALL
394,SINGLE_BALL,0.602,SINGLE_BALL
395,SINGLE_BALL,0.602,SINGLE_BALL
396,SINGLE_BALL,0.602,SINGLE_BALL
397,SINGLE_BALL,0.602,SINGLE_BALL
398,SINGLE_BALL,0.602,SINGLE_BALL
399,TWO_BALL,0.735,TWO_BALL
400,TWO_BALL,0.735,TWO_BALL
401,TWO_BALL,0.735,TWO_BALL
402,TWO_BALL,0.735,TWO_BALL
403,TWO_BALL,0.735,TWO_BALL
404,TWO_BALL,0.735,TWO_BALL
405,TWO_BALL,0.735,TWO_BALL
406,TWO_BALL,0.735,TWO_BALL
407,TWO_BALL,0.735,TWO_BALL
408,TWO_BALL,0.735,TWO_BALL
409,TWO_BALL,0.735,TWO_BALL
410,TWO_BALL,0.735,TWO_BALL
411,MIXED_3+,0.792,MIXED_3+
412,MIXED_3+,0.792,MIXED_3+
413,MIXED_3+,0.792,MIXED_3+
414,MIXED_3+,0.792,MIXED_3+
415,MIXED_3+,0.792,MIXED_3+
416,MIXED_3+,0.792,MIXED_3+
417,MIXED_3+,0.792,MIXED_3+
418,MIXED_3+,0.792,MIXED_3+
419,MIXED_3+,0.792,MIXED_3+
420,MIXED_3+,0.792,MIXED_3+
421,MIXED_3+,0.792,MIXED_3+
422,MIXED_3+,0.792,MIXED_3+
423,MIXED_3+,0.792,MIXED_3+
424,MIXED_3+,0.792,MIXED_3+
425,MIXED_3+,0.844,MIXED_3+
426,MIXED_3+,0.844,MIXED_3+
427,MIXED_3+,0.844,MIXED_3+
428,MIXED_3+,0.844,MIXED_3+
429,MIXED_3+,0.792,MIXED_3+
430,MIXED_3+,0.792,MIXED_3+
431,MIXED_3+,0.792,MIXED_3+
432,MIXED_3+,0.792,MIXED_3+
433,MIXED_3+,0.792,MIXED_3+
434,MIXED_3+,0.792,MIXED_3+
435,MIXED_3+,0.792,MIXED_3+
436,MIXED_3+,0.792,MIXED_3+
437,MIXED_3+,0.792,MIXED_3+
438,MIXED_3+,0.792,MIXED_3+
439,MIXED_3+,0.792,MIXED_3+
440,MIXED_3+,0.792,MIXED_3+
441,MIXED_3+,0.792,MIXED_3+
442,MIXED_3+,0.792,MIXED_3+
443,MIXED_3+,0.792,MIXED_3+
444,MIXED_3+,0.792,MIXED_3+
445,MIXED_3+,0.792,MIXED_3+
446,MIXED_3+,0.792,MIXED_3+
447,MIXED_3+,0.792,MIXED_3+
448,MIXED_3+,0.792,MIXED_3+
449,MIXED_3+,0.792,MIXED_3+
450,MIXED_3+,0.792,MIXED_3+
