frame,L42,R42,A42,source,L36,R36,A36,L40v2,R40v2,h12_pattern,h12_conf
228,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.718
229,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.698
230,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.698
231,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.698
232,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.698
233,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.698
234,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.698
235,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.698
236,0,0,5,hold,0,0,5,0,0,MIXED_3+,0.698
237,0,0,5,hold,0,0,5,0,0,MIXED_3+,0.698
238,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.698
239,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.651
240,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.651
241,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.651
242,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.651
243,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.651
244,0,1,4,h36,0,1,4,1,0,MIXED_3+,0.651
245,0,1,4,h36,0,1,4,1,0,MIXED_3+,0.651
246,0,1,4,h36,0,1,4,1,0,MIXED_3+,0.651
247,0,1,4,h36,0,1,4,1,0,MIXED_3+,0.642
248,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
249,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
250,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
251,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
252,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
253,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
254,0,1,4,h36,0,1,4,0,0,MIXED_3+,0.642
255,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.682
256,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.682
257,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
258,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
259,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
260,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
261,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
262,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
263,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
264,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
265,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
266,1,0,4,h36,1,0,4,1,1,CASCADE_3+,0.681
267,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
268,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
269,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
270,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
271,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
272,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
273,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
274,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
275,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
276,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
277,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
278,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
279,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
280,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
281,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
282,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
283,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
284,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
285,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
286,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
287,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
288,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
289,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
290,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
291,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
292,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
293,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
294,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
295,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
296,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
297,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
298,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
299,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.682
300,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
301,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
302,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
303,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
304,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
305,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
306,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
307,0,1,4,h36,0,1,4,1,1,CASCADE_3+,0.698
308,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
309,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.682
310,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
311,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
312,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
313,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
314,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
315,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
316,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
317,0,1,4,h40,0,0,5,0,1,MIXED_3+,0.642
318,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
319,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
320,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
321,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
322,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
323,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.642
324,0,0,5,hold,0,0,5,0,0,MIXED_3+,0.642
325,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.642
326,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.642
327,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.642
328,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.628
329,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.64
330,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.64
331,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.64
332,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.64
333,0,1,4,h36,0,1,4,1,0,MIXED_3+,0.64
334,0,1,4,h36,0,1,4,0,0,MIXED_3+,0.64
335,0,1,4,h36,0,1,4,0,0,MIXED_3+,0.64
336,0,1,4,h36,0,1,4,0,0,MIXED_3+,0.64
337,0,1,4,h36,0,1,4,0,0,MIXED_3+,0.64
338,0,1,4,h36,0,1,4,1,1,MIXED_3+,0.64
339,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
340,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
341,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
342,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
343,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
344,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
345,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
346,0,1,4,h40,0,0,5,0,1,FOUNTAIN_3+,0.649
347,0,1,4,h40,0,0,5,0,1,FOUNTAIN_3+,0.649
348,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
349,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
350,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
351,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
352,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
353,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
354,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
355,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
356,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
357,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
358,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
359,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
360,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
361,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
362,1,0,4,h40,0,0,5,1,0,FOUNTAIN_3+,0.649
363,0,0,5,hold,0,0,5,0,0,FOUNTAIN_3+,0.649
364,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
365,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
366,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
367,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
368,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
369,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
370,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
371,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
372,0,1,4,h40,0,0,5,0,1,FOUNTAIN_3+,0.649
373,0,1,4,h40,0,0,5,0,1,FOUNTAIN_3+,0.649
374,1,1,3,h40,0,0,5,1,1,FOUNTAIN_3+,0.649
375,1,0,4,h36,1,0,4,1,1,MIXED_3+,0.649
376,1,0,4,h36,1,0,4,1,1,MIXED_3+,0.657
377,1,0,4,h36,1,0,4,1,1,MIXED_3+,0.657
378,1,0,4,h36,1,0,4,1,1,MIXED_3+,0.657
379,1,0,4,h36,1,0,4,0,0,MIXED_3+,0.657
380,1,0,4,h36,1,0,4,1,1,MIXED_3+,0.657
381,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
382,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
383,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
384,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
385,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
386,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
387,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
388,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.649
389,1,0,4,h40,0,0,5,1,0,MIXED_3+,0.649
390,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
391,1,1,3,h40,0,0,5,1,1,MIXED_3+,0.649
