event_id,video,stem,frame,time_seconds,hand,event_type,tid,point_x,point_y,wrist_x,wrist_y,dist,slope,pre_depth,pool_depth,identity_ambiguous,notes
11,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,381,12.7,left,UNMATCHED_EXIT,17,615.71,393.49,,,21.67,11.313,0,0,False,throw-side exit; hand was empty
12,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,420,14.0,right,UNMATCHED_EXIT,18,568.81,460.87,,,10.38,6.057,0,0,False,throw-side exit; hand was empty
13,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,445,14.8333,left,UNMATCHED_EXIT,19,603.97,314.57,,,78.11,12.815,0,0,False,throw-side exit; hand was empty
14,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,482,16.0667,right,UNMATCHED_EXIT,21,581.19,403.46,,,35.34,10.346,0,0,False,throw-side exit; hand was empty
15,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,510,17.0,right,UNMATCHED_EXIT,22,579.3,394.68,,,34.5,10.521,0,0,False,throw-side exit; hand was empty
16,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,582,19.4,right,ENTRY,17,549.82,455.9,554.68,450.31,6.74,-4.906,0,1,False,token 2 created
17,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,591,19.7,right,EXIT,24,566.15,472.55,554.68,450.31,13.87,5.28,1,0,False,consumed token 2 from 17
18,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,595,19.8333,left,ENTRY,15,659.05,434.01,652.28,439.13,6.63,-2.076,0,1,False,token 2 created
19,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,606,20.2,left,EXIT,25,626.01,456.67,652.28,439.13,4.99,8.773,1,0,False,consumed token 2 from 15
20,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,653,21.7667,left,ENTRY,24,645.5,427.06,647.65,433.69,3.01,-4.323,0,1,False,token 3 created
21,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,656,21.8667,right,UNMATCHED_EXIT,26,577.61,398.77,,,33.66,12.32,0,0,False,throw-side exit; hand was empty
22,videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,701,23.3667,left,EXIT,29,610.39,382.74,647.65,433.69,32.85,13.031,1,0,False,consumed token 3 from 24
