kind,stem,src,tgt,gap,min_hand_dist,ratio,vshape,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict,h114_v1_default_fires,h114_v1_strict_fires,rule_a,rule_b,rule_c,fires_any
adjacent_vshape,identical_balls_trick_000_018,23,26,22,21.7,4.943,V_DEEP,76.77,42.28,164.87,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,23,27,28,16.59,9.708,V_DEEP,76.77,56.25,270.44,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,28,30,17,99.55,3.34,V_SHALLOW,332.27,93.82,246.52,right,right,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,28,31,29,32.61,10.196,V_DEEP,332.27,68.38,488.52,right,left,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,29,33,1,5.63,16.183,V_DEEP,47.51,71.37,127.47,left,left,False,PARTIAL,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,30,34,21,15.7,4.203,V_DEEP,57.47,,29.52,left,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,31,39,23,66.15,7.404,V_SHALLOW,468.66,62.73,342.0,left,right,False,,True,True,True,True,False,True
adjacent_vshape,identical_balls_trick_000_018,31,40,27,94.49,5.004,V_SHALLOW,468.66,93.97,377.31,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,35,39,23,14.06,10.991,V_DEEP,19.16,62.73,163.86,left,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,36,42,15,41.34,3.345,V_DEEP,99.14,40.05,85.06,right,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,39,46,3,51.9,3.355,V_SHALLOW,174.1,89.36,237.68,left,left,False,,True,True,True,False,False,True
adjacent_vshape,identical_balls_trick_000_018,39,49,21,93.6,5.316,V_SHALLOW,174.1,,630.95,left,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,41,45,23,43.62,1.646,V_DEEP,45.23,60.86,22.65,right,right,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,42,43,23,11.4,17.9,V_DEEP,43.8,,255.74,left,,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,42,44,25,43.11,1.583,V_DEEP,43.8,66.11,40.15,left,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,43,44,1,9.03,26.229,V_DEEP,,66.11,287.09,,left,False,,False,False,False,False,False,False
adjacent_vshape,identical_balls_trick_000_018,44,54,17,51.67,8.242,V_SHALLOW,32.2,39.11,309.22,left,right,False,,True,True,True,True,False,True
