kind,stem,src,tgt,vshape,gap,min_hand_dist,ratio,in_h7v2,end_d,start_d,spatial_jump,end_side,start_side,in_h7v3plus3,qa_verdict
adjacent,identical_balls_trick_000_018,31,39,V_SHALLOW,23,66.15,7.404,False,468.66,62.73,342.00,left,right,False,
adjacent,identical_balls_trick_000_018,31,40,V_SHALLOW,27,94.49,5.004,False,468.66,93.97,377.31,left,left,False,
adjacent,identical_balls_trick_000_018,35,36,V_DEEP,11,15.27,29.629,False,19.16,406.95,464.60,left,right,False,
adjacent,identical_balls_trick_000_018,35,38,V_DEEP,11,6.99,13.619,False,19.16,,108.24,left,,False,FALSE
adjacent,identical_balls_trick_000_018,35,39,V_DEEP,23,14.06,10.991,False,19.16,62.73,163.86,left,right,False,
adjacent,identical_balls_trick_000_018,35,40,V_DEEP,27,15.27,7.486,False,19.16,93.97,120.32,left,left,False,UNCLEAR
adjacent,identical_balls_trick_000_018,39,46,V_SHALLOW,3,51.9,3.355,False,174.10,89.36,237.68,left,left,False,
adjacent,identical_balls_trick_000_018,40,42,V_DEEP,11,19.22,9.886,False,62.99,40.05,227.04,right,left,False,
adjacent,identical_balls_trick_000_018,41,45,V_DEEP,23,43.62,1.646,False,45.23,60.86,22.65,right,right,False,
adjacent,identical_balls_trick_000_018,44,53,V_SHALLOW,11,55.9,3.487,False,32.20,69.51,53.64,left,left,False,
adjacent,identical_balls_trick_000_018,44,54,V_SHALLOW,17,51.67,8.242,False,32.20,39.11,309.22,left,right,False,
adjacent,identical_balls_trick_000_018,46,50,V_DEEP,17,19.9,3.157,False,19.21,50.30,60.40,right,right,False,
adjacent,identical_balls_trick_000_018,54,57,V_DEEP,9,8.51,38.118,False,9.61,202.48,320.83,right,right,False,REAL
adjacent,identical_balls_trick_000_018,54,58,V_DEEP,25,8.51,23.391,False,9.61,,120.17,right,,False,
adjacent,identical_balls_trick_000_018,54,60,V_DEEP,30,8.51,33.41,False,9.61,46.85,179.16,right,right,False,
adjacent,identical_balls_trick_000_018,56,57,V_DEEP,10,7.11,65.473,False,7.01,202.48,346.47,left,right,False,REAL
adjacent,identical_balls_trick_000_018,56,58,V_DEEP,26,7.11,13.656,False,7.01,,226.11,left,,False,REAL
adjacent,identical_balls_trick_000_018,56,59,V_DEEP,27,7.11,29.519,False,7.01,80.19,190.00,left,right,False,
adjacent,identical_balls_trick_000_018,57,62,V_DEEP,5,12.52,26.954,False,64.07,1.78,157.56,right,left,False,
adjacent,identical_balls_trick_000_018,57,63,V_DEEP,10,42.64,7.894,False,64.07,37.24,285.27,right,right,False,
adjacent,identical_balls_trick_000_018,58,60,V_DEEP,4,40.46,7.031,False,,46.85,117.86,,right,False,
adjacent,identical_balls_trick_000_018,58,62,V_DEEP,29,12.52,11.289,False,,1.78,226.79,,left,False,
adjacent,identical_balls_trick_000_018,59,61,V_DEEP,11,18.94,5.303,False,46.08,31.32,71.39,right,right,True,
adjacent,identical_balls_trick_000_018,59,62,V_DEEP,13,12.52,12.529,False,46.08,1.78,58.34,right,left,False,
adjacent,identical_balls_trick_000_018,60,65,FLAT,20,101.56,5.334,False,436.11,98.22,472.95,left,left,False,
adjacent,identical_balls_trick_000_018,61,63,V_DEEP,5,24.97,6.34,False,8.21,37.24,182.38,right,right,False,
adjacent,identical_balls_trick_000_018,62,65,V_DEEP,8,32.58,11.688,False,22.19,98.22,174.14,right,left,False,
adjacent,identical_balls_trick_000_018,62,67,V_DEEP,20,32.58,11.665,False,22.19,228.42,290.75,right,left,False,
adjacent,identical_balls_trick_000_018,62,68,V_DEEP,22,24.72,4.667,False,22.19,36.23,114.00,right,right,False,
adjacent,identical_balls_trick_000_018,62,69,V_DEEP,29,32.58,5.706,False,22.19,75.57,72.86,right,left,False,
adjacent,identical_balls_trick_000_018,63,65,V_DEEP,11,39.9,5.315,False,63.06,98.22,187.99,left,left,False,
adjacent,identical_balls_trick_000_018,63,68,V_DEEP,25,34.83,8.014,False,63.06,36.23,181.87,left,right,False,
adjacent,identical_balls_trick_000_018,66,67,V_DEEP,3,38.32,6.048,False,32.65,228.42,210.32,left,left,False,
adjacent,identical_balls_trick_000_018,66,68,V_DEEP,5,10.86,19.129,False,32.65,36.23,238.91,left,right,False,FALSE
adjacent,identical_balls_trick_000_018,66,69,V_DEEP,12,18.3,9.55,False,32.65,75.57,116.43,left,left,False,
adjacent,identical_balls_trick_000_018,67,72,V_DEEP,9,26.14,11.886,False,272.56,16.95,244.29,left,left,False,
adjacent,identical_balls_trick_000_018,67,71,V_DEEP,9,20.36,19.756,False,272.56,18.59,343.23,left,right,False,
adjacent,identical_balls_trick_000_018,68,70,V_DEEP,14,12.95,21.896,False,12.16,197.05,315.44,right,left,False,
adjacent,identical_balls_trick_000_018,68,72,V_DEEP,14,12.95,16.569,False,12.16,16.95,223.32,right,left,False,
adjacent,identical_balls_trick_000_018,69,72,V_DEEP,18,26.14,6.064,False,44.29,16.95,22.27,left,left,False,
adjacent,identical_balls_trick_000_018,69,71,V_DEEP,18,20.36,15.447,False,44.29,18.59,177.29,left,right,False,
adjacent,identical_balls_trick_000_018,70,73,V_DEEP,4,21.49,8.735,False,33.94,51.71,199.10,left,right,False,
adjacent,identical_balls_trick_000_018,70,75,V_DEEP,20,22.21,3.341,False,33.94,71.05,169.99,left,left,False,
adjacent,identical_balls_trick_000_018,72,74,V_DEEP,6,30.89,9.946,False,53.17,101.84,317.03,right,left,False,
adjacent,identical_balls_trick_000_018,73,75,V_DEEP,10,35.2,3.474,False,34.05,71.05,142.01,left,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,V_DEEP,15,8.19,19.604,False,28.96,117.14,73.60,left,right,False,FALSE
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,8,V_DEEP,21,38.51,3.397,False,,38.17,73.90,,right,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,19,V_DEEP,19,11.39,13.734,False,8.48,78.11,154.20,left,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,V_DEEP,9,4.69,38.56,False,2.24,120.71,175.18,right,left,False,FALSE
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,13,V_DEEP,29,4.69,32.169,False,2.24,18.70,85.66,right,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,15,V_DEEP,20,6.86,23.297,False,1.07,78.09,124.90,left,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,25,V_DEEP,24,4.56,21.365,False,6.74,4.99,76.19,right,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,V_DEEP,12,5.32,17.308,False,5.56,35.34,71.18,right,right,True,REAL
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,V_DEEP,13,7.8,4.276,False,,13.87,65.99,,right,False,PARTIAL
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,25,V_DEEP,28,10.42,8.167,False,,4.99,87.85,,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,26,V_DEEP,3,1.06,133.217,False,3.01,33.66,73.55,left,right,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,27,V_DEEP,17,1.06,24.88,False,3.01,,36.91,left,,False,FALSE
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,28,V_DEEP,25,1.06,173.333,False,3.01,108.06,128.06,left,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,34,V_DEEP,20,9.9,11.771,False,21.97,4.45,71.08,left,right,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,33,V_DEEP,17,14.38,8.637,False,20.37,11.52,76.17,right,left,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,32,40,V_DEEP,5,21.28,4.026,False,24.17,19.59,70.84,right,right,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,40,V_DEEP,21,21.28,5.879,False,23.14,19.59,89.39,left,right,False,
adjacent,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,39,40,V_DEEP,1,21.28,6.222,False,19.28,19.59,100.77,left,right,False,
