frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
202,0,1,MIXED_3+,0.643,MIXED_3+
203,0,1,MIXED_3+,0.643,MIXED_3+
204,1,1,MIXED_3+,0.643,MIXED_3+
205,1,1,MIXED_3+,0.643,MIXED_3+
206,1,1,MIXED_3+,0.643,MIXED_3+
207,1,1,TWO_BALL_ONE_HAND,0.479,TWO_BALL_ONE_HAND
208,1,1,SINGLE_BALL,0.454,SINGLE_BALL
209,1,1,,0.0,
210,1,1,,0.0,
211,1,1,,0.0,
212,0,1,SINGLE_BALL,0.316,SINGLE_BALL
213,0,1,SINGLE_BALL,0.316,SINGLE_BALL
214,0,1,,0.0,
215,0,0,,0.0,
216,0,0,,0.0,
217,0,0,,0.0,
220,0,0,SINGLE_BALL,0.316,SINGLE_BALL
221,0,0,SINGLE_BALL,0.316,SINGLE_BALL
222,0,0,SINGLE_BALL,0.316,SINGLE_BALL
223,0,0,SINGLE_BALL,0.316,SINGLE_BALL
224,0,0,SINGLE_BALL,0.316,SINGLE_BALL
225,0,0,SINGLE_BALL,0.316,SINGLE_BALL
227,0,0,SINGLE_BALL,0.316,SINGLE_BALL
228,0,0,SINGLE_BALL,0.316,SINGLE_BALL
229,0,0,SINGLE_BALL,0.316,SINGLE_BALL
230,0,0,SINGLE_BALL,0.316,SINGLE_BALL
231,0,0,SINGLE_BALL,0.316,SINGLE_BALL
232,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
233,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
234,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
235,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
236,0,1,TWO_BALL,0.637,TWO_BALL
237,0,1,TWO_BALL,0.637,TWO_BALL
238,0,1,TWO_BALL,0.637,TWO_BALL
239,0,0,TWO_BALL,0.637,TWO_BALL
240,0,0,TWO_BALL,0.637,TWO_BALL
242,0,0,TWO_BALL,0.637,TWO_BALL
243,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
244,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
245,0,0,FOUNTAIN_3+,0.593,FOUNTAIN_3+
246,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
247,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
248,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
249,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
250,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
251,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
252,0,1,FOUNTAIN_3+,0.593,FOUNTAIN_3+
253,0,1,TWO_BALL,0.731,TWO_BALL
254,0,1,TWO_BALL,0.731,TWO_BALL
255,0,1,TWO_BALL,0.731,TWO_BALL
256,0,0,SINGLE_BALL,0.958,SINGLE_BALL
257,1,0,TWO_BALL,0.935,TWO_BALL
258,1,0,TWO_BALL,0.935,TWO_BALL
259,1,0,TWO_BALL,0.935,TWO_BALL
260,1,0,TWO_BALL,0.935,TWO_BALL
261,0,0,TWO_BALL,0.935,TWO_BALL
262,0,0,TWO_BALL,0.935,TWO_BALL
263,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
264,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
265,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
266,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
267,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
268,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
269,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
270,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
271,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
272,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
273,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
274,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
275,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
276,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
277,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
278,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
279,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
280,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
281,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
282,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
283,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
284,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
285,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
286,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
287,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
288,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
289,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
290,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
291,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
292,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
293,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
294,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
295,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
296,0,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
297,1,1,FOUNTAIN_3+,0.728,FOUNTAIN_3+
298,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
299,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
300,1,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
301,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
302,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
303,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
304,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
305,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
306,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
307,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
308,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
309,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
310,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
311,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
312,0,0,FOUNTAIN_3+,0.728,FOUNTAIN_3+
313,0,0,TWO_BALL,0.935,TWO_BALL
314,0,0,TWO_BALL,0.935,TWO_BALL
315,0,0,TWO_BALL,0.935,TWO_BALL
316,0,0,TWO_BALL,0.935,TWO_BALL
317,0,0,TWO_BALL,0.935,TWO_BALL
318,0,0,TWO_BALL,0.935,TWO_BALL
319,0,0,TWO_BALL,0.935,TWO_BALL
320,0,0,TWO_BALL,0.935,TWO_BALL
321,0,0,TWO_BALL,0.935,TWO_BALL
322,0,0,TWO_BALL,0.935,TWO_BALL
323,0,0,TWO_BALL,0.935,TWO_BALL
324,0,0,TWO_BALL,0.935,TWO_BALL
325,0,0,TWO_BALL,0.935,TWO_BALL
326,0,0,TWO_BALL,0.935,TWO_BALL
327,0,0,TWO_BALL,0.935,TWO_BALL
328,0,0,TWO_BALL,0.935,TWO_BALL
329,0,0,SINGLE_BALL,0.911,SINGLE_BALL
330,0,0,SINGLE_BALL,0.911,SINGLE_BALL
331,0,0,SINGLE_BALL,0.911,SINGLE_BALL
332,0,0,SINGLE_BALL,0.911,SINGLE_BALL
333,0,0,TWO_BALL,0.757,TWO_BALL
334,0,0,TWO_BALL,0.757,TWO_BALL
336,0,0,SINGLE_BALL,0.602,SINGLE_BALL
337,0,0,SINGLE_BALL,0.602,SINGLE_BALL
338,0,0,SINGLE_BALL,0.602,SINGLE_BALL
339,0,0,SINGLE_BALL,0.602,SINGLE_BALL
340,0,0,SINGLE_BALL,0.602,SINGLE_BALL
343,0,0,SINGLE_BALL,0.602,SINGLE_BALL
344,0,0,SINGLE_BALL,0.602,SINGLE_BALL
345,0,0,SINGLE_BALL,0.602,SINGLE_BALL
346,0,0,SINGLE_BALL,0.602,SINGLE_BALL
347,0,0,SINGLE_BALL,0.602,SINGLE_BALL
348,0,0,SINGLE_BALL,0.602,SINGLE_BALL
349,0,0,SINGLE_BALL,0.602,SINGLE_BALL
350,0,0,SINGLE_BALL,0.602,SINGLE_BALL
351,0,0,SINGLE_BALL,0.602,SINGLE_BALL
352,0,0,SINGLE_BALL,0.602,SINGLE_BALL
361,0,0,SINGLE_BALL,0.602,SINGLE_BALL
362,0,0,SINGLE_BALL,0.602,SINGLE_BALL
363,0,0,SINGLE_BALL,0.602,SINGLE_BALL
364,0,0,SINGLE_BALL,0.602,SINGLE_BALL
365,0,0,SINGLE_BALL,0.602,SINGLE_BALL
366,0,0,SINGLE_BALL,0.602,SINGLE_BALL
367,0,0,SINGLE_BALL,0.602,SINGLE_BALL
368,0,0,SINGLE_BALL,0.602,SINGLE_BALL
369,0,0,SINGLE_BALL,0.602,SINGLE_BALL
370,0,0,SINGLE_BALL,0.602,SINGLE_BALL
371,0,0,SINGLE_BALL,0.602,SINGLE_BALL
372,0,0,SINGLE_BALL,0.602,SINGLE_BALL
373,0,0,SINGLE_BALL,0.602,SINGLE_BALL
374,0,0,SINGLE_BALL,0.602,SINGLE_BALL
375,0,0,SINGLE_BALL,0.602,SINGLE_BALL
376,0,0,SINGLE_BALL,0.602,SINGLE_BALL
393,0,0,SINGLE_BALL,0.602,SINGLE_BALL
394,0,0,SINGLE_BALL,0.602,SINGLE_BALL
395,0,0,SINGLE_BALL,0.602,SINGLE_BALL
396,0,0,SINGLE_BALL,0.602,SINGLE_BALL
397,0,0,SINGLE_BALL,0.602,SINGLE_BALL
398,0,0,SINGLE_BALL,0.602,SINGLE_BALL
399,0,0,TWO_BALL,0.735,TWO_BALL
400,0,0,TWO_BALL,0.735,TWO_BALL
401,0,0,TWO_BALL,0.735,TWO_BALL
402,0,0,TWO_BALL,0.735,TWO_BALL
403,0,0,TWO_BALL,0.735,TWO_BALL
404,0,0,TWO_BALL,0.735,TWO_BALL
405,0,0,TWO_BALL,0.735,TWO_BALL
406,0,0,TWO_BALL,0.735,TWO_BALL
407,0,0,TWO_BALL,0.735,TWO_BALL
408,0,0,TWO_BALL,0.735,TWO_BALL
409,0,0,TWO_BALL,0.735,TWO_BALL
410,0,0,TWO_BALL,0.735,TWO_BALL
411,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
412,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
413,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
414,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
415,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
416,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
417,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
418,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
419,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
420,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
421,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
422,0,1,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
423,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
424,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
425,0,0,FOUNTAIN_3+,0.844,FOUNTAIN_REJECTED
426,0,0,FOUNTAIN_3+,0.844,FOUNTAIN_REJECTED
427,0,0,FOUNTAIN_3+,0.844,FOUNTAIN_REJECTED
428,0,0,FOUNTAIN_3+,0.844,FOUNTAIN_REJECTED
429,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
430,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
431,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
432,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
433,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
434,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
435,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
436,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
437,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
438,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
439,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
440,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
441,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
442,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
443,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
444,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
445,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
446,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
447,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
448,0,0,FOUNTAIN_3+,0.792,FOUNTAIN_REJECTED
