pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.63,v5_confident,True,False,True,89,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,90,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,91,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,92,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,93,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,94,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,95,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,96,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,97,MIXED_3+_UNCONFIRMED,0.387,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.617,agree,True,True,False,98,TWO_BALL,0.735,TWO_BALL,0.5,2,2
SINGLE_BALL,0.524,agree,True,True,False,99,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,True,True,False,100,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,True,True,False,101,SINGLE_BALL,0.549,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.524,agree,True,True,False,102,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.524,agree,True,True,False,103,SINGLE_BALL,0.549,SINGLE_BALL,0.5,1,1
FOUNTAIN_3+,0.63,v5_confident,True,False,True,104,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,105,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,106,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,107,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,108,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,109,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,110,MIXED_3+_UNCONFIRMED,0.234,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,111,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,112,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,113,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,114,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,115,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,116,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.63,v5_confident,True,False,True,117,MIXED_3+,0.469,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
CASCADE_3+,0.63,v5_confident,True,False,True,118,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,119,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,120,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,121,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,122,MIXED_3+,0.469,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.465,agree,True,False,False,123,TWO_BALL,0.429,TWO_BALL,0.5,2,2
TWO_BALL,0.465,agree,True,False,False,124,TWO_BALL,0.429,TWO_BALL,0.5,2,2
TWO_BALL,0.465,agree,True,False,False,125,TWO_BALL,0.429,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,v2+v5_agree,True,True,True,126,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,127,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,128,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,129,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,130,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,131,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,132,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,v2+v5_agree,True,True,True,133,MIXED_3+,0.569,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.57,agree,True,True,False,134,TWO_BALL,0.639,TWO_BALL,0.5,2,2
TWO_BALL,0.57,agree,True,True,False,135,TWO_BALL,0.639,TWO_BALL,0.5,2,2
