frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
395,1,1,MIXED_3+,0.649,MIXED_3+
396,0,1,MIXED_3+,0.649,MIXED_3+
397,0,1,MIXED_3+,0.649,MIXED_3+
398,0,1,MIXED_3+,0.649,MIXED_3+
399,1,0,MIXED_3+,0.649,MIXED_3+
400,1,0,MIXED_3+,0.649,MIXED_3+
401,1,1,MIXED_3+,0.649,MIXED_3+
402,1,1,MIXED_3+,0.649,MIXED_3+
403,1,1,MIXED_3+,0.649,MIXED_3+
404,1,1,MIXED_3+,0.649,MIXED_3+
405,1,1,MIXED_3+,0.649,MIXED_3+
406,0,1,MIXED_3+,0.649,MIXED_3+
407,1,1,MIXED_3+,0.649,MIXED_3+
408,1,1,MIXED_3+,0.649,MIXED_3+
409,1,1,MIXED_3+,0.649,MIXED_3+
410,1,1,MIXED_3+,0.649,MIXED_3+
411,1,1,CASCADE_3+,0.649,CASCADE_3+
412,1,1,CASCADE_3+,0.641,CASCADE_3+
413,0,1,CASCADE_3+,0.641,CASCADE_3+
414,0,1,CASCADE_3+,0.641,CASCADE_3+
415,1,1,CASCADE_3+,0.641,CASCADE_3+
416,1,1,CASCADE_3+,0.641,CASCADE_3+
417,1,1,CASCADE_3+,0.641,CASCADE_3+
418,1,1,CASCADE_3+,0.641,CASCADE_3+
419,1,0,CASCADE_3+,0.641,CASCADE_3+
420,1,0,MIXED_3+,0.649,MIXED_3+
421,1,0,MIXED_3+,0.649,MIXED_3+
422,1,0,MIXED_3+,0.649,MIXED_3+
423,1,1,MIXED_3+,0.649,MIXED_3+
424,1,1,MIXED_3+,0.649,MIXED_3+
425,0,1,MIXED_3+,0.649,MIXED_3+
426,0,1,MIXED_3+,0.649,MIXED_3+
427,0,1,MIXED_3+,0.663,MIXED_3+
428,0,1,MIXED_3+,0.663,MIXED_3+
429,0,1,MIXED_3+,0.663,MIXED_3+
430,0,1,MIXED_3+,0.663,MIXED_3+
431,0,1,MIXED_3+,0.663,MIXED_3+
432,0,1,MIXED_3+,0.663,MIXED_3+
433,0,1,MIXED_3+,0.663,MIXED_3+
434,0,1,MIXED_3+,0.663,MIXED_3+
435,0,1,MIXED_3+,0.663,MIXED_3+
436,0,1,MIXED_3+,0.663,MIXED_3+
437,0,1,MIXED_3+,0.663,MIXED_3+
438,0,1,MIXED_3+,0.663,MIXED_3+
439,0,0,MIXED_3+,0.663,MIXED_3+
440,0,1,MIXED_3+,0.663,MIXED_3+
441,0,1,MIXED_3+,0.663,MIXED_3+
442,0,1,MIXED_3+,0.663,MIXED_3+
443,0,1,MIXED_3+,0.663,MIXED_3+
444,0,1,MIXED_3+,0.663,MIXED_3+
445,1,1,MIXED_3+,0.654,MIXED_3+
446,1,1,MIXED_3+,0.654,MIXED_3+
447,1,1,MIXED_3+,0.654,MIXED_3+
448,1,1,MIXED_3+,0.654,MIXED_3+
449,1,1,MIXED_3+,0.654,MIXED_3+
450,1,1,MIXED_3+,0.654,MIXED_3+
451,1,1,MIXED_3+,0.654,MIXED_3+
452,1,1,MIXED_3+,0.654,MIXED_3+
453,1,1,MIXED_3+,0.654,MIXED_3+
454,0,1,MIXED_3+,0.654,MIXED_3+
455,0,1,MIXED_3+,0.654,MIXED_3+
456,0,1,MIXED_3+,0.654,MIXED_3+
457,0,1,MIXED_3+,0.654,MIXED_3+
458,0,0,MIXED_3+,0.654,MIXED_3+
459,1,1,MIXED_3+,0.654,MIXED_3+
460,1,1,MIXED_3+,0.654,MIXED_3+
461,1,1,MIXED_3+,0.654,MIXED_3+
462,0,1,MIXED_3+,0.654,MIXED_3+
