kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_inhand,src_inhand_count,src_inhand_min_d,tgt_inhand,tgt_inhand_count,tgt_inhand_min_d,in_hand_px,min_in_hand_frames,gap_dist,gap_vel,apex_src_dist,rejected_inhand,rejected_vel,rejected_apex,h20_reject_inhand,h20_keep,max_gap_vel,apex_src_dist_reject
adjacent,identical_balls_trick_000_018,18,21,6,V_DEEP,46.78,6.287,left,False,208,745.9,548.6,False,0,,False,0,,30,3,240.86,240.86,18.4,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,18,22,14,V_DEEP,46.78,10.843,left,False,208,745.9,548.6,False,0,,False,0,,30,3,437.96,48.66,18.4,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,18,24,26,V_DEEP,28.77,3.95,left,False,231,494.9,524.0,False,0,,False,0,,30,3,310.2,14.77,258.53,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,18,23,26,V_DEEP,46.78,3.842,left,False,208,745.9,548.6,False,0,,False,0,,30,3,224.32,10.68,18.4,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,20,23,24,V_SHALLOW,65.59,4.809,right,False,229,565.3,337.2,False,0,,False,0,,30,3,140.34,7.39,93.56,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,21,23,19,V_SHALLOW,68.87,2.593,right,False,232,602.1,366.1,False,0,,False,0,,30,3,120.77,8.05,120.8,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,24,28,5,V_SHALLOW,59.53,4.388,right,False,334,586.9,367.1,False,0,,False,0,,30,3,271.14,,45.15,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,28,30,17,V_SHALLOW,99.55,3.34,right,False,400,664.0,263.5,False,0,,False,0,,30,3,246.44,20.54,246.87,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,29,33,1,V_DEEP,5.63,16.183,left,False,469,699.7,489.7,False,2,26.28,False,0,,30,3,87.96,,58.62,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,31,39,23,V_SHALLOW,66.15,7.404,right,False,545,614.8,400.4,False,0,,False,0,,30,3,332.15,18.45,332.18,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,31,40,27,V_SHALLOW,94.49,5.004,left,False,549,687.7,406.5,False,0,,False,0,,30,3,368.56,16.75,368.49,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,35,36,11,V_DEEP,15.27,29.629,left,False,527,725.7,507.5,True,3,15.27,False,0,,30,3,452.93,75.49,0.05,False,True,True,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,35,38,11,V_DEEP,6.99,13.619,left,False,528,707.8,507.6,True,3,15.27,False,0,,30,3,107.02,17.84,17.86,False,False,True,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,35,39,23,V_DEEP,14.06,10.991,left,False,530,707.2,489.6,True,3,15.27,False,0,,30,3,154.14,8.56,25.69,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,35,40,27,V_DEEP,15.27,7.486,left,False,527,725.7,507.5,True,3,15.27,False,0,,30,3,107.81,4.9,0.05,False,False,True,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,39,46,3,V_SHALLOW,51.9,3.355,left,False,685,590.2,363.4,False,0,,False,0,,30,3,207.37,,138.22,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,40,42,11,V_DEEP,19.22,9.886,right,False,588,600.1,372.6,False,0,,False,0,,30,3,225.0,37.5,37.47,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,41,45,23,V_DEEP,43.62,1.646,right,False,619,619.9,325.6,False,0,,False,0,,30,3,18.85,1.05,6.27,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,44,53,11,V_SHALLOW,55.9,3.487,left,False,780,446.9,615.3,False,0,,False,0,,30,3,178.03,29.67,183.27,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,44,54,17,V_SHALLOW,51.67,8.242,right,False,797,588.0,340.1,False,0,,False,0,,30,3,479.26,39.94,479.32,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,46,50,17,V_DEEP,19.9,3.157,right,False,718,581.9,600.8,True,3,23.15,False,0,,30,3,50.15,4.18,6.41,False,False,True,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,54,57,9,V_DEEP,8.51,38.118,right,False,831,576.4,496.7,False,2,15.26,False,0,,30,3,208.97,52.24,89.72,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,54,58,25,V_DEEP,8.51,23.391,right,False,831,576.4,496.7,False,2,15.26,False,0,,30,3,167.78,8.39,89.72,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,54,60,30,V_DEEP,8.51,33.41,right,False,831,576.4,496.7,False,2,15.26,False,0,,30,3,124.96,5.0,89.72,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,56,57,10,V_DEEP,7.11,65.473,left,False,830,684.7,521.5,False,1,21.87,False,0,,30,3,300.47,60.09,41.0,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,56,58,26,V_DEEP,7.11,13.656,left,False,830,684.7,521.5,False,1,21.87,False,0,,30,3,238.09,11.34,41.0,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,56,59,27,V_DEEP,7.11,29.519,left,False,830,684.7,521.5,False,1,21.87,False,0,,30,3,141.03,6.41,41.0,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,57,62,5,V_DEEP,12.52,26.954,left,False,885,679.3,543.8,False,0,,False,2,12.52,30,3,344.65,,344.65,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,57,63,10,V_DEEP,42.64,7.894,right,False,890,597.9,493.0,False,0,,False,0,,30,3,477.48,95.5,397.87,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,58,60,4,V_DEEP,40.46,7.031,right,False,861,449.8,464.2,False,0,,False,0,,30,3,85.09,,14.21,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,58,62,29,V_DEEP,12.52,11.289,left,False,885,679.3,543.8,False,0,,False,2,12.52,30,3,238.55,9.54,238.6,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,59,61,11,V_DEEP,18.94,5.303,right,False,879,624.5,648.6,False,0,,False,0,,30,3,52.13,5.79,43.46,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,59,62,13,V_DEEP,12.52,12.529,left,False,885,679.3,543.8,False,0,,False,2,12.52,30,3,104.09,9.46,104.09,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,60,65,20,FLAT,101.56,5.334,left,False,956,723.6,456.9,False,0,,False,0,,30,3,468.56,31.24,468.58,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,61,63,5,V_DEEP,24.97,6.34,right,False,895,587.1,429.6,False,0,,False,0,,30,3,93.26,,77.76,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,62,65,8,V_DEEP,32.58,11.688,right,False,948,580.7,556.4,False,0,,False,0,,30,3,139.49,46.5,45.02,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,62,67,20,V_DEEP,32.58,11.665,right,False,948,580.7,556.4,False,0,,False,0,,30,3,246.14,16.41,45.02,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,62,68,22,V_DEEP,24.72,4.667,right,False,968,567.1,643.0,False,0,,False,0,,30,3,158.44,9.32,132.08,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,62,69,29,V_DEEP,32.58,5.706,right,False,948,580.7,556.4,False,0,,False,0,,30,3,31.04,1.29,45.02,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,63,65,11,V_DEEP,39.9,5.315,left,False,954,748.2,542.8,False,0,,False,0,,30,3,268.22,44.7,178.84,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,63,68,25,V_DEEP,34.83,8.014,right,False,973,561.3,572.4,False,0,,False,0,,30,3,240.64,12.03,275.75,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,66,67,3,V_DEEP,38.32,6.048,left,False,966,742.7,506.6,False,0,,False,0,,30,3,210.14,,15.63,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,66,68,5,V_DEEP,10.86,19.129,left,False,970,725.3,531.5,False,0,,False,0,,30,3,256.64,256.64,42.79,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,66,69,12,V_DEEP,18.3,9.55,left,False,975,689.9,500.1,False,0,,False,0,,30,3,136.65,17.08,68.33,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,67,72,9,V_DEEP,26.14,11.886,left,False,1029,704.7,473.7,False,0,,False,1,26.14,30,3,279.85,69.96,279.81,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,67,71,9,V_DEEP,20.36,19.756,right,False,1030,520.3,513.4,False,0,,False,2,20.36,30,3,370.9,92.73,345.23,False,True,False,True,False,70.0,20.0
adjacent,identical_balls_trick_000_018,68,70,14,V_DEEP,12.95,21.896,right,False,1015,507.2,578.0,False,0,,False,0,,30,3,466.65,51.85,162.56,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,68,72,14,V_DEEP,12.95,16.569,right,False,1015,507.2,578.0,False,0,,False,0,,30,3,334.09,37.12,162.56,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,69,72,18,V_DEEP,26.14,6.064,left,False,1029,704.7,473.7,False,0,,False,1,26.14,30,3,79.91,6.15,79.92,False,False,False,False,True,70.0,20.0
adjacent,identical_balls_trick_000_018,69,71,18,V_DEEP,20.36,15.447,right,False,1030,520.3,513.4,False,0,,False,2,20.36,30,3,273.88,21.07,264.81,False,False,False,False,True,70.0,20.0
