frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_recent_events
261,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
262,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
263,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
264,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
265,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
266,4,0,0,4,0.656,FOUNTAIN_3+,0.656,2
267,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
268,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
269,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
270,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
271,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
272,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
273,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
274,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
275,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
276,5,0,0,5,0.631,FOUNTAIN_3+,0.631,2
277,5,0,0,5,0.631,CASCADE_3+,0.631,0
278,5,0,0,5,0.631,CASCADE_3+,0.631,0
279,5,0,0,5,0.631,CASCADE_3+,0.631,0
280,5,0,0,5,0.631,CASCADE_3+,0.631,0
281,5,0,0,5,0.631,CASCADE_3+,0.631,0
282,5,0,0,5,0.631,CASCADE_3+,0.631,0
283,5,0,0,5,0.631,CASCADE_3+,0.631,0
284,5,0,0,5,0.631,CASCADE_3+,0.631,0
285,5,0,0,5,0.631,CASCADE_3+,0.631,0
286,5,0,0,5,0.631,CASCADE_3+,0.631,0
287,5,0,0,5,0.631,CASCADE_3+,0.631,0
288,5,0,0,5,0.631,CASCADE_3+,0.631,0
289,5,0,0,5,0.631,CASCADE_3+,0.631,0
290,5,0,0,5,0.631,CASCADE_3+,0.631,0
291,5,0,0,5,0.631,CASCADE_3+,0.631,0
292,5,0,0,5,0.631,CASCADE_3+,0.631,0
293,5,0,0,5,0.631,CASCADE_3+,0.631,0
294,5,0,0,5,0.631,CASCADE_3+,0.631,0
295,5,0,0,5,0.631,CASCADE_3+,0.631,0
296,5,0,0,5,0.631,CASCADE_3+,0.631,0
297,5,0,0,5,0.631,CASCADE_3+,0.631,0
298,5,0,0,5,0.631,CASCADE_3+,0.631,0
299,5,0,0,5,0.631,CASCADE_3+,0.631,0
300,4,0,0,4,0.654,CASCADE_3+,0.654,0
301,4,0,0,4,0.654,CASCADE_3+,0.654,0
302,4,0,0,4,0.654,CASCADE_3+,0.654,0
303,4,0,0,4,0.654,CASCADE_3+,0.654,0
304,4,0,0,4,0.654,CASCADE_3+,0.654,0
305,4,0,0,4,0.654,CASCADE_3+,0.654,0
306,4,0,0,4,0.654,CASCADE_3+,0.654,0
307,4,0,0,4,0.654,CASCADE_3+,0.654,0
308,5,0,0,5,0.631,CASCADE_3+,0.631,0
309,5,0,0,5,0.631,CASCADE_3+,0.631,0
310,4,0,0,4,0.548,CASCADE_3+,0.548,0
311,4,0,0,4,0.548,CASCADE_3+,0.548,0
312,4,0,0,4,0.548,CASCADE_3+,0.548,0
313,4,0,0,4,0.548,CASCADE_3+,0.548,0
314,4,0,0,4,0.548,CASCADE_3+,0.548,0
315,4,0,0,4,0.548,CASCADE_3+,0.548,0
316,4,0,0,4,0.548,CASCADE_3+,0.548,0
317,4,0,0,4,0.548,CASCADE_3+,0.548,0
318,4,0,0,4,0.548,CASCADE_3+,0.548,0
319,4,0,0,4,0.548,CASCADE_3+,0.548,0
320,4,0,0,4,0.548,CASCADE_3+,0.548,0
321,4,0,0,4,0.548,CASCADE_3+,0.548,0
322,4,0,0,4,0.548,CASCADE_3+,0.548,0
323,4,0,0,4,0.548,CASCADE_3+,0.548,0
324,4,0,0,4,0.548,CASCADE_3+,0.548,0
325,4,0,0,4,0.548,CASCADE_3+,0.548,0
326,4,0,0,4,0.548,CASCADE_3+,0.548,0
327,4,0,0,4,0.548,CASCADE_3+,0.548,0
328,3,0,0,3,0.553,CASCADE_3+,0.553,0
329,4,0,0,4,0.552,CASCADE_3+,0.552,0
330,4,0,0,4,0.552,CASCADE_3+,0.552,0
331,4,0,0,4,0.552,CASCADE_3+,0.552,0
