pattern_v6,confidence_v6,source,agree,v2_confident,v5_confident,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
CASCADE_3+,0.63,v5_confident,True,False,True,88,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,89,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,90,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,91,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,92,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,93,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,94,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,95,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,96,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,97,MIXED_3+_UNCONFIRMED,0.259,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,5
CASCADE_3+,0.63,v5_confident,True,False,True,98,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,99,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,100,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,101,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,102,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
CASCADE_3+,0.63,v5_confident,True,False,True,103,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,104,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,105,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,106,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,107,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,108,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,109,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,110,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,111,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,112,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,113,MIXED_3+_UNCONFIRMED,0.258,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.63,v5_confident,True,False,True,114,MIXED_3+_UNCONFIRMED,0.26,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,4
