video,stem,tid,first_frame,last_frame,n_pts,first_x,first_y,last_x,last_y,end_side,end_dist,end_slope,end_samples,end_pose_conf,start_side,start_dist,start_slope,start_samples,start_pose_conf
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,64,944,964,18,453.28,188.53,547.28,733.21,right,59.03,7.98,5,0.254,right,384.35,-26.269,5,0.254
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,65,956,970,14,723.63,456.86,712.5,284.12,left,242.74,1.971,5,0.176,left,98.22,23.082,5,0.176
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,66,957,965,6,685.15,505.66,737.58,507.48,left,32.65,-2.895,5,0.183,left,56.26,-4.08,5,0.183
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,67,968,1020,48,714.82,298.4,669.38,232.01,left,272.56,8.112,5,0.199,left,228.42,-2.533,5,0.199
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,68,970,1015,37,561.28,668.72,507.24,577.97,right,12.16,-22.004,5,0.389,right,36.23,2.482,5,0.389
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,69,977,1011,32,621.7,496.13,683.07,468.59,left,44.29,0.573,5,0.216,left,75.57,-11.587,5,0.216
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,70,1029,1050,19,654.01,298.76,714.97,555.48,left,33.94,-11.775,5,0.211,left,197.05,-18.309,5,0.211
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,72,1029,1050,22,704.74,473.73,413.3,497.31,right,53.17,-7.877,5,0.407,left,16.95,21.582,5,0.407
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,71,1029,1074,43,521.6,541.8,535.58,639.99,right,82.71,1.79,5,0.173,right,18.59,18.081,5,0.173
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,73,1054,1060,6,539.59,461.23,749.49,453.62,left,34.05,-12.761,5,0.234,right,51.71,2.062,5,0.234
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,74,1056,1078,22,709.98,385.55,709.73,318.78,left,173.44,-15.31,5,0.338,left,101.84,20.34,5,0.338
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,75,1070,1077,8,879.17,511.49,774.32,456.73,left,33.64,-6.155,5,0.194,left,71.05,-5.545,5,0.194
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,76,1077,1077,1,536.04,559.0,536.04,559.0,,,,1,,,,,1,
