frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
169,5,0,0,5,5,3.01,2,CASCADE_3+_DETECTOR,0.7
170,5,0,0,5,5,2.2,2,CASCADE_3+_DETECTOR,0.7
171,5,0,0,5,5,3.36,2,CASCADE_3+_DETECTOR,0.7
172,5,0,0,5,5,3.22,2,CASCADE_3+_DETECTOR,0.7
173,5,0,0,5,5,3.57,2,CASCADE_3+_DETECTOR,0.7
174,5,0,0,5,5,3.75,2,CASCADE_3+_DETECTOR,0.7
175,5,0,0,5,5,3.14,2,CASCADE_3+_DETECTOR,0.7
176,5,0,0,5,5,3.32,2,CASCADE_3+_DETECTOR,0.7
177,5,0,0,5,5,3.12,2,CASCADE_3+_DETECTOR,0.7
178,5,0,0,5,5,2.88,2,CASCADE_3+_DETECTOR,0.7
179,5,0,0,5,5,3.37,2,CASCADE_3+_DETECTOR,0.7
180,5,0,0,5,5,2.54,2,CASCADE_3+_DETECTOR,0.7
181,5,0,0,5,5,2.06,2,CASCADE_3+_DETECTOR,0.7
182,5,0,0,5,5,2.52,2,CASCADE_3+_DETECTOR,0.7
183,5,0,0,5,5,3.02,2,CASCADE_3+_DETECTOR,0.7
184,5,0,0,5,5,3.17,2,CASCADE_3+_DETECTOR,0.7
185,5,0,0,5,5,2.57,2,CASCADE_3+_DETECTOR,0.7
186,5,0,0,5,5,2.73,2,CASCADE_3+_DETECTOR,0.7
187,5,0,0,5,5,2.9,2,CASCADE_3+_DETECTOR,0.7
188,5,0,0,5,5,2.92,2,CASCADE_3+_DETECTOR,0.7
189,5,0,0,5,5,3.01,2,CASCADE_3+_DETECTOR,0.7
190,5,0,0,5,5,2.67,2,CASCADE_3+_DETECTOR,0.7
191,5,0,0,5,5,2.66,2,CASCADE_3+_DETECTOR,0.7
192,5,0,0,5,5,2.12,2,CASCADE_3+_DETECTOR,0.7
193,5,0,0,5,5,3.04,2,CASCADE_3+_DETECTOR,0.7
194,5,0,0,5,5,4.0,2,CASCADE_3+_DETECTOR,0.7
195,5,0,0,5,5,2.99,2,CASCADE_3+_DETECTOR,0.7
196,5,0,0,5,5,2.79,2,CASCADE_3+_DETECTOR,0.7
197,5,0,0,5,5,2.79,2,CASCADE_3+_DETECTOR,0.7
198,5,0,0,5,5,2.51,2,CASCADE_3+_DETECTOR,0.7
199,5,0,0,5,5,2.5,2,CASCADE_3+_DETECTOR,0.7
200,5,0,0,5,5,2.79,2,CASCADE_3+_DETECTOR,0.7
201,5,0,0,5,5,3.3,2,CASCADE_3+_DETECTOR,0.7
202,5,0,0,5,5,3.4,2,CASCADE_3+_DETECTOR,0.7
203,5,0,0,5,5,3.3,2,CASCADE_3+_DETECTOR,0.7
204,5,0,0,5,5,3.01,2,CASCADE_3+_DETECTOR,0.7
205,5,0,0,5,5,3.38,2,CASCADE_3+_DETECTOR,0.7
206,5,0,0,5,5,2.43,2,CASCADE_3+_DETECTOR,0.7
207,5,0,0,5,5,2.05,2,CASCADE_3+_DETECTOR,0.7
208,5,0,0,5,5,1.75,2,CASCADE_3+_DETECTOR,0.7
209,5,0,0,5,5,1.99,2,CASCADE_3+_DETECTOR,0.7
210,5,0,0,5,5,2.18,2,CASCADE_3+_DETECTOR,0.7
211,5,0,0,5,5,2.03,2,CASCADE_3+_DETECTOR,0.7
212,5,0,0,5,5,1.98,1,FOUNTAIN_3+_DETECTOR,0.7
213,5,0,0,5,5,2.0,2,CASCADE_3+_DETECTOR,0.7
214,5,0,0,5,5,2.87,2,CASCADE_3+_DETECTOR,0.7
215,5,0,0,5,5,2.34,2,CASCADE_3+_DETECTOR,0.7
216,5,0,0,5,5,2.68,2,CASCADE_3+_DETECTOR,0.7
217,5,0,0,5,5,2.75,2,CASCADE_3+_DETECTOR,0.7
218,5,0,0,5,5,2.47,2,CASCADE_3+_DETECTOR,0.7
219,5,0,0,5,5,2.59,2,CASCADE_3+_DETECTOR,0.7
220,5,0,0,5,5,2.5,2,CASCADE_3+_DETECTOR,0.7
221,5,0,0,5,5,2.69,2,CASCADE_3+_DETECTOR,0.7
222,5,0,0,5,5,2.4,2,CASCADE_3+_DETECTOR,0.7
223,5,0,0,5,5,2.1,2,CASCADE_3+_DETECTOR,0.7
224,5,0,0,5,5,2.18,2,CASCADE_3+_DETECTOR,0.7
225,5,0,0,5,5,2.47,2,CASCADE_3+_DETECTOR,0.7
226,5,0,0,5,5,2.31,2,CASCADE_3+_DETECTOR,0.7
227,5,0,0,5,5,2.74,2,CASCADE_3+_DETECTOR,0.7
228,5,0,0,5,5,2.15,2,CASCADE_3+_DETECTOR,0.7
229,4,0,0,4,5,2.34,2,CASCADE_3+_DETECTOR,0.7
230,4,0,0,4,5,2.4,2,CASCADE_3+_DETECTOR,0.7
231,4,0,0,4,5,2.39,2,CASCADE_3+_DETECTOR,0.7
232,4,0,0,4,4,2.99,2,CASCADE_3+_DETECTOR,0.7
233,4,0,0,4,4,2.93,2,CASCADE_3+_DETECTOR,0.7
234,4,0,0,4,4,2.8,2,CASCADE_3+_DETECTOR,0.7
235,4,0,0,4,4,2.78,2,CASCADE_3+_DETECTOR,0.7
236,4,0,0,4,4,3.15,2,CASCADE_3+_DETECTOR,0.7
237,4,0,0,4,4,2.78,2,CASCADE_3+_DETECTOR,0.7
238,3,0,1,4,0,0.0,0,NO_BALL,0.0
239,3,0,0,3,4,2.22,2,CASCADE_3+_DETECTOR,0.7
240,3,0,0,3,4,2.39,2,CASCADE_3+_DETECTOR,0.7
241,3,0,0,3,4,2.47,2,CASCADE_3+_DETECTOR,0.7
242,3,0,0,3,3,3.26,2,CASCADE_3+_DETECTOR,0.7
243,3,0,0,3,3,3.23,2,CASCADE_3+_DETECTOR,0.7
244,3,0,0,3,3,3.01,2,CASCADE_3+_DETECTOR,0.7
245,3,0,0,3,3,2.83,2,CASCADE_3+_DETECTOR,0.7
246,3,0,0,3,3,3.45,2,CASCADE_3+_DETECTOR,0.7
247,4,0,0,4,4,1.07,2,CASCADE_3+_DETECTOR,0.7
248,4,0,0,4,4,2.86,2,CASCADE_3+_DETECTOR,0.7
249,4,0,0,4,4,2.53,2,CASCADE_3+_DETECTOR,0.7
250,4,0,0,4,4,2.54,2,CASCADE_3+_DETECTOR,0.7
251,4,0,0,4,4,2.94,2,CASCADE_3+_DETECTOR,0.7
252,4,0,0,4,4,3.38,2,CASCADE_3+_DETECTOR,0.7
253,4,0,0,4,4,3.23,2,CASCADE_3+_DETECTOR,0.7
254,4,0,0,4,4,2.59,2,CASCADE_3+_DETECTOR,0.7
255,4,0,1,5,0,0.0,0,NO_BALL,0.0
256,5,0,0,5,5,2.48,2,CASCADE_3+_DETECTOR,0.7
257,4,0,0,4,5,2.53,2,CASCADE_3+_DETECTOR,0.7
258,4,0,0,4,5,2.79,2,CASCADE_3+_DETECTOR,0.7
259,4,0,0,4,5,2.54,2,CASCADE_3+_DETECTOR,0.7
260,4,0,0,4,5,2.98,2,CASCADE_3+_DETECTOR,0.7
261,4,0,0,4,5,2.09,2,CASCADE_3+_DETECTOR,0.7
