frame,L40v2,R40v2,h12_pattern,h12_conf
459,1,0,TWO_BALL,0.755
460,1,0,TWO_BALL_ONE_HAND,0.755
461,1,0,TWO_BALL_ONE_HAND,0.887
462,1,0,TWO_BALL,0.887
463,1,0,TWO_BALL,0.887
464,1,0,TWO_BALL,0.887
465,1,0,TWO_BALL,0.887
469,0,0,TWO_BALL,0.887
470,0,0,TWO_BALL,0.887
473,0,0,SINGLE_BALL,0.908
474,0,0,SINGLE_BALL,0.908
475,0,0,SINGLE_BALL,0.908
476,0,0,SINGLE_BALL,0.908
479,0,0,SINGLE_BALL,0.908
481,0,0,SINGLE_BALL,0.908
482,0,0,SINGLE_BALL,0.908
483,0,0,SINGLE_BALL,0.908
484,0,0,SINGLE_BALL,0.908
485,0,0,SINGLE_BALL,0.908
486,0,0,SINGLE_BALL,0.908
487,0,0,SINGLE_BALL,0.908
488,0,0,SINGLE_BALL,0.908
495,0,0,SINGLE_BALL,0.908
501,0,0,SINGLE_BALL,0.908
502,0,0,SINGLE_BALL,0.908
503,0,0,SINGLE_BALL,0.908
504,0,0,SINGLE_BALL,0.908
506,0,0,SINGLE_BALL,0.908
507,0,0,TWO_BALL,0.733
508,0,0,TWO_BALL,0.733
509,0,0,TWO_BALL,0.733
510,0,0,TWO_BALL,0.733
511,0,0,TWO_BALL,0.733
512,0,0,TWO_BALL,0.733
517,1,0,TWO_BALL,0.733
518,1,0,TWO_BALL,0.733
519,1,0,TWO_BALL,0.733
520,1,0,TWO_BALL,0.733
533,0,0,FOUNTAIN_3+,0.704
534,0,0,MIXED_3+,0.704
535,0,0,SINGLE_BALL,0.908
536,0,0,SINGLE_BALL,0.908
540,0,0,SINGLE_BALL,0.908
541,0,0,SINGLE_BALL,0.908
542,0,0,SINGLE_BALL,0.908
543,0,0,SINGLE_BALL,0.908
545,0,1,TWO_BALL_ONE_HAND,0.776
546,0,1,TWO_BALL,0.776
547,0,1,TWO_BALL,0.776
548,0,1,TWO_BALL,0.776
549,1,1,MIXED_3+,0.704
550,1,1,MIXED_3+,0.704
551,1,1,MIXED_3+,0.704
552,1,1,MIXED_3+,0.704
553,0,1,MIXED_3+,0.704
554,0,0,MIXED_3+,0.704
555,0,0,MIXED_3+,0.704
556,0,0,MIXED_3+,0.704
557,0,0,MIXED_3+,0.704
558,0,0,MIXED_3+,0.704
559,0,0,MIXED_3+,0.704
560,0,0,MIXED_3+,0.704
561,0,0,MIXED_3+,0.704
562,0,0,MIXED_3+,0.704
563,0,0,MIXED_3+,0.704
564,0,0,MIXED_3+,0.704
565,0,0,MIXED_3+,0.704
566,0,0,MIXED_3+,0.704
567,0,1,MIXED_3+,0.704
568,0,1,MIXED_3+,0.704
569,0,1,MIXED_3+,0.704
570,0,1,MIXED_3+,0.704
571,0,1,MIXED_3+,0.704
572,0,1,MIXED_3+,0.704
575,0,1,MIXED_3+,0.704
576,0,1,MIXED_3+,0.704
577,0,1,MIXED_3+,0.704
578,0,1,MIXED_3+,0.704
579,0,1,TWO_BALL,0.602
580,0,1,TWO_BALL,0.602
581,0,1,TWO_BALL,0.602
582,0,1,TWO_BALL_ONE_HAND,0.602
583,0,0,SINGLE_BALL,0.645
584,0,0,SINGLE_BALL,0.645
587,0,0,SINGLE_BALL,0.645
588,0,0,SINGLE_BALL,0.645
591,0,0,TWO_BALL_ONE_HAND,0.602
592,0,0,TWO_BALL,0.602
593,1,1,MIXED_3+,0.696
594,1,1,MIXED_3+,0.696
595,1,1,MIXED_3+,0.696
