frame,pattern,confidence,new_pattern
249,MIXED_3+,0.639,MIXED_3+
250,MIXED_3+,0.639,MIXED_3+
251,MIXED_3+,0.639,MIXED_3+
252,MIXED_3+,0.639,MIXED_3+
253,MIXED_3+,0.639,MIXED_3+
254,MIXED_3+,0.639,MIXED_3+
255,MIXED_3+,0.679,MIXED_3+
256,CASCADE_3+,0.679,CASCADE_3+
257,CASCADE_3+,0.681,CASCADE_3+
258,CASCADE_3+,0.681,CASCADE_3+
259,CASCADE_3+,0.681,CASCADE_3+
260,CASCADE_3+,0.681,CASCADE_3+
261,CASCADE_3+,0.681,CASCADE_3+
262,CASCADE_3+,0.681,CASCADE_3+
263,CASCADE_3+,0.681,CASCADE_3+
264,CASCADE_3+,0.681,CASCADE_3+
265,CASCADE_3+,0.681,CASCADE_3+
266,CASCADE_3+,0.681,CASCADE_3+
267,MIXED_3+,0.679,MIXED_3+
268,MIXED_3+,0.679,MIXED_3+
269,MIXED_3+,0.679,MIXED_3+
270,MIXED_3+,0.679,MIXED_3+
271,MIXED_3+,0.679,MIXED_3+
272,MIXED_3+,0.679,MIXED_3+
273,MIXED_3+,0.679,MIXED_3+
274,MIXED_3+,0.679,MIXED_3+
275,MIXED_3+,0.679,MIXED_3+
276,MIXED_3+,0.679,MIXED_3+
277,MIXED_3+,0.679,MIXED_3+
278,MIXED_3+,0.679,MIXED_3+
279,MIXED_3+,0.679,MIXED_3+
280,MIXED_3+,0.679,MIXED_3+
281,MIXED_3+,0.679,MIXED_3+
282,MIXED_3+,0.679,MIXED_3+
283,MIXED_3+,0.679,MIXED_3+
284,MIXED_3+,0.679,MIXED_3+
285,MIXED_3+,0.679,MIXED_3+
286,MIXED_3+,0.679,MIXED_3+
287,MIXED_3+,0.679,MIXED_3+
288,MIXED_3+,0.679,MIXED_3+
289,MIXED_3+,0.679,MIXED_3+
290,MIXED_3+,0.679,MIXED_3+
291,MIXED_3+,0.679,MIXED_3+
292,MIXED_3+,0.679,MIXED_3+
293,MIXED_3+,0.679,MIXED_3+
294,MIXED_3+,0.679,MIXED_3+
295,MIXED_3+,0.679,MIXED_3+
296,MIXED_3+,0.679,MIXED_3+
297,MIXED_3+,0.679,MIXED_3+
298,MIXED_3+,0.679,MIXED_3+
299,CASCADE_3+,0.679,CASCADE_3+
300,CASCADE_3+,0.695,CASCADE_3+
301,CASCADE_3+,0.695,CASCADE_3+
302,CASCADE_3+,0.695,CASCADE_3+
303,CASCADE_3+,0.695,CASCADE_3+
304,CASCADE_3+,0.695,CASCADE_3+
305,CASCADE_3+,0.695,CASCADE_3+
306,CASCADE_3+,0.695,CASCADE_3+
307,CASCADE_3+,0.695,CASCADE_3+
308,MIXED_3+,0.679,MIXED_3+
309,MIXED_3+,0.679,MIXED_3+
310,MIXED_3+,0.639,MIXED_3+
311,MIXED_3+,0.639,MIXED_3+
312,MIXED_3+,0.639,MIXED_3+
313,MIXED_3+,0.639,MIXED_3+
314,MIXED_3+,0.639,MIXED_3+
315,MIXED_3+,0.639,MIXED_3+
316,MIXED_3+,0.639,MIXED_3+
317,MIXED_3+,0.639,MIXED_3+
318,MIXED_3+,0.639,MIXED_3+
319,MIXED_3+,0.639,MIXED_3+
320,MIXED_3+,0.639,MIXED_3+
321,MIXED_3+,0.639,MIXED_3+
322,MIXED_3+,0.639,MIXED_3+
323,MIXED_3+,0.639,MIXED_3+
324,MIXED_3+,0.639,MIXED_3+
325,MIXED_3+,0.639,MIXED_3+
326,MIXED_3+,0.639,MIXED_3+
327,MIXED_3+,0.639,MIXED_3+
