frame,pattern,confidence,n_window_events,n_far,n_ambig,n_low_slope,guard_passed,guard_reason
239,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
240,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
241,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
242,TWO_BALL,0.5,4,0,1,0,False,ambig_ratio=0.25
243,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
244,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
245,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
246,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
247,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
248,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
249,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
250,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
251,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
252,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
253,TWO_BALL,0.5,4,0,0,0,True,ok
254,TWO_BALL,0.5,4,0,0,0,True,ok
255,TWO_BALL,0.5,4,0,0,0,True,ok
256,SINGLE_BALL,0.5,4,0,0,0,True,ok
257,TWO_BALL,0.5,4,0,0,0,True,ok
258,TWO_BALL,0.5,4,0,0,0,True,ok
259,TWO_BALL,0.5,4,0,0,0,True,ok
260,TWO_BALL,0.5,4,0,0,0,True,ok
261,TWO_BALL,0.5,4,0,0,0,True,ok
262,TWO_BALL,0.5,4,0,0,0,True,ok
263,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
264,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
265,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
266,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
267,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
268,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
269,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
270,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
271,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
272,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
273,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
274,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
275,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
276,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
277,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
278,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
279,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
280,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
281,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
282,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
283,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
284,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
285,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
286,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
287,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
288,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
289,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
290,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
291,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
292,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
293,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
294,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
295,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
296,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
297,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
298,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
299,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
300,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
301,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
302,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
303,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
304,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
305,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
306,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
307,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
308,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
309,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
310,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
311,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
312,MIXED_3+_UNCONFIRMED,0.3,4,0,0,0,True,ok
313,TWO_BALL,0.5,4,0,0,0,True,ok
314,TWO_BALL,0.5,4,0,0,0,True,ok
315,TWO_BALL,0.5,4,0,0,0,True,ok
316,TWO_BALL,0.5,4,0,0,0,True,ok
317,TWO_BALL,0.5,4,0,0,0,True,ok
318,TWO_BALL,0.5,4,0,0,0,True,ok
319,TWO_BALL,0.5,4,0,0,0,True,ok
320,TWO_BALL,0.5,4,0,0,0,True,ok
321,TWO_BALL,0.5,4,0,0,0,True,ok
322,TWO_BALL,0.5,4,0,0,0,True,ok
