frame,h50_pattern,h50_confidence,h68_pattern,h43_rejected,h66_rejected,h68_rejected
247,MIXED_3+,0.639,MIXED_3+,no,no,no
248,MIXED_3+,0.639,MIXED_3+,no,no,no
249,MIXED_3+,0.639,MIXED_3+,no,no,no
250,MIXED_3+,0.639,MIXED_3+,no,no,no
251,MIXED_3+,0.639,MIXED_3+,no,no,no
252,MIXED_3+,0.639,MIXED_3+,no,no,no
253,MIXED_3+,0.639,MIXED_3+,no,no,no
254,MIXED_3+,0.639,MIXED_3+,no,no,no
255,MIXED_3+,0.679,MIXED_3+,no,no,no
256,CASCADE_3+,0.679,CASCADE_3+,no,no,no
257,CASCADE_3+,0.681,CASCADE_3+,no,no,no
258,CASCADE_3+,0.681,CASCADE_3+,no,no,no
259,CASCADE_3+,0.681,CASCADE_3+,no,no,no
260,CASCADE_3+,0.681,CASCADE_3+,no,no,no
261,CASCADE_3+,0.681,CASCADE_3+,no,no,no
262,CASCADE_3+,0.681,CASCADE_3+,no,no,no
263,CASCADE_3+,0.681,CASCADE_3+,no,no,no
264,CASCADE_3+,0.681,CASCADE_3+,no,no,no
265,CASCADE_3+,0.681,CASCADE_3+,no,no,no
266,CASCADE_3+,0.681,CASCADE_3+,no,no,no
267,MIXED_3+,0.679,MIXED_3+,no,no,no
268,MIXED_3+,0.679,MIXED_3+,no,no,no
269,MIXED_3+,0.679,MIXED_3+,no,no,no
270,MIXED_3+,0.679,MIXED_3+,no,no,no
271,MIXED_3+,0.679,MIXED_3+,no,no,no
272,MIXED_3+,0.679,MIXED_3+,no,no,no
273,MIXED_3+,0.679,MIXED_3+,no,no,no
274,MIXED_3+,0.679,MIXED_3+,no,no,no
275,MIXED_3+,0.679,MIXED_3+,no,no,no
276,MIXED_3+,0.679,MIXED_3+,no,no,no
277,MIXED_3+,0.679,MIXED_3+,no,no,no
278,MIXED_3+,0.679,MIXED_3+,no,no,no
279,MIXED_3+,0.679,MIXED_3+,no,no,no
280,MIXED_3+,0.679,MIXED_3+,no,no,no
281,MIXED_3+,0.679,MIXED_3+,no,no,no
282,MIXED_3+,0.679,MIXED_3+,no,no,no
283,MIXED_3+,0.679,MIXED_3+,no,no,no
284,MIXED_3+,0.679,MIXED_3+,no,no,no
285,MIXED_3+,0.679,MIXED_3+,no,no,no
286,MIXED_3+,0.679,MIXED_3+,no,no,no
287,MIXED_3+,0.679,MIXED_3+,no,no,no
288,MIXED_3+,0.679,MIXED_3+,no,no,no
289,MIXED_3+,0.679,MIXED_3+,no,no,no
290,MIXED_3+,0.679,MIXED_3+,no,no,no
291,MIXED_3+,0.679,MIXED_3+,no,no,no
292,MIXED_3+,0.679,MIXED_3+,no,no,no
293,MIXED_3+,0.679,MIXED_3+,no,no,no
294,MIXED_3+,0.679,MIXED_3+,no,no,no
295,MIXED_3+,0.679,MIXED_3+,no,no,no
296,MIXED_3+,0.679,MIXED_3+,no,no,no
297,MIXED_3+,0.679,MIXED_3+,no,no,no
298,MIXED_3+,0.679,MIXED_3+,no,no,no
299,CASCADE_3+,0.679,CASCADE_3+,no,no,no
300,CASCADE_3+,0.695,CASCADE_3+,no,no,no
301,CASCADE_3+,0.695,CASCADE_3+,no,no,no
