frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
247,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
248,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
249,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
250,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
251,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
252,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
253,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
254,4,0,0,4,0.642,MIXED_3+,0.642,MIXED_3+
255,5,0,1,5,0.682,MIXED_3+,0.682,MIXED_3+
256,5,1,0,5,0.682,CASCADE_3+,0.682,CASCADE_3+
257,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
258,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
259,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
260,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
261,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
262,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
263,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
264,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
265,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
266,4,0,0,4,0.681,CASCADE_3+,0.681,CASCADE_3+
267,5,1,0,5,0.682,MIXED_3+,0.682,MIXED_3+
268,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
269,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
270,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
271,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
272,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
273,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
274,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
275,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
276,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
277,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
278,5,0,0,5,0.682,MIXED_3+,0.682,MIXED_3+
