frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,n_airborne_tracklets,vx_iqr_px_per_frame,n_distinct_horiz_dirs,pattern,confidence
296,3,0,0,3,3,2.22,1,FOUNTAIN_3+_DETECTOR,0.7
297,3,0,0,3,3,5.51,2,CASCADE_3+_DETECTOR,0.7
298,3,0,0,3,3,3.5,1,FOUNTAIN_3+_DETECTOR,0.7
299,3,0,0,3,3,4.74,2,CASCADE_3+_DETECTOR,0.7
300,3,0,0,3,3,2.81,1,FOUNTAIN_3+_DETECTOR,0.7
301,3,0,0,3,3,4.3,2,CASCADE_3+_DETECTOR,0.7
302,3,0,0,3,3,2.55,1,FOUNTAIN_3+_DETECTOR,0.7
303,3,0,0,3,3,3.65,2,CASCADE_3+_DETECTOR,0.7
304,3,0,0,3,3,2.07,1,FOUNTAIN_3+_DETECTOR,0.7
305,3,0,0,3,3,3.9,2,CASCADE_3+_DETECTOR,0.7
306,3,0,0,3,3,2.27,1,FOUNTAIN_3+_DETECTOR,0.7
307,3,0,0,3,3,4.27,2,CASCADE_3+_DETECTOR,0.7
308,3,0,0,3,3,2.56,2,CASCADE_3+_DETECTOR,0.7
309,3,0,0,3,3,4.05,2,CASCADE_3+_DETECTOR,0.7
310,3,0,0,3,3,2.41,1,FOUNTAIN_3+_DETECTOR,0.7
311,3,0,0,3,3,2.88,1,FOUNTAIN_3+_DETECTOR,0.7
312,3,0,0,3,3,2.45,1,FOUNTAIN_3+_DETECTOR,0.7
313,2,0,0,2,3,2.9,1,TWO_BALL,0.5
314,2,0,0,2,3,2.9,1,TWO_BALL,0.5
315,2,0,0,2,3,3.89,1,TWO_BALL,0.5
316,2,0,0,2,3,2.67,1,TWO_BALL,0.5
317,2,0,0,2,3,4.11,2,TWO_BALL,0.5
318,2,0,0,2,2,2.45,1,TWO_BALL,0.5
319,2,0,0,2,2,4.37,2,TWO_BALL,0.5
320,2,0,0,2,2,2.62,1,TWO_BALL,0.5
321,2,0,0,2,2,4.27,2,TWO_BALL,0.5
322,2,0,0,2,2,2.47,1,TWO_BALL,0.5
323,2,0,0,2,2,4.0,1,TWO_BALL,0.5
324,2,0,0,2,2,2.33,1,TWO_BALL,0.5
325,2,0,0,2,2,3.75,1,TWO_BALL,0.5
326,2,0,0,2,2,2.1,1,TWO_BALL,0.5
327,2,0,0,2,2,3.76,1,TWO_BALL,0.5
328,2,0,0,2,2,2.2,1,TWO_BALL,0.5
329,1,0,0,1,2,3.36,1,SINGLE_BALL,0.5
330,1,0,0,1,2,2.18,1,SINGLE_BALL,0.5
331,1,0,0,1,2,2.36,1,SINGLE_BALL,0.5
332,1,0,0,1,2,1.54,0,SINGLE_BALL,0.5
333,2,0,0,2,3,2.39,1,TWO_BALL,0.5
334,2,0,0,2,2,0.48,0,TWO_BALL,0.5
335,1,0,0,1,2,1.79,1,SINGLE_BALL,0.5
336,1,0,0,1,2,1.54,1,SINGLE_BALL,0.5
337,1,0,0,1,2,1.68,1,SINGLE_BALL,0.5
338,1,0,0,1,2,1.54,1,SINGLE_BALL,0.5
339,1,0,0,1,2,1.87,1,SINGLE_BALL,0.5
340,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
341,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
342,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
343,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
344,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
345,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
346,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
347,1,0,0,1,1,0.0,0,SINGLE_BALL,0.5
