frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
216,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
217,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
218,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
219,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
220,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
221,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
222,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
223,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
224,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
225,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
226,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
227,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
228,5,0,0,5,0.609,MIXED_3+_UNCONFIRMED,0.304,0,2,0,0.0,0.0
229,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
230,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
231,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
232,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
233,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
234,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
235,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
236,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
237,4,0,0,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
238,3,0,1,4,0.654,MIXED_3+_UNCONFIRMED,0.327,0,2,0,0.0,0.0
239,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
240,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
241,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
242,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
243,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
244,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
245,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,0,2,0,0.0,0.0
246,3,0,0,3,0.549,MIXED_3+_UNCONFIRMED,0.275,2,2,1,0.0,0.0
247,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
248,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
249,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
250,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
251,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
252,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
253,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
254,4,0,0,4,0.548,MIXED_3+_UNCONFIRMED,0.274,2,2,1,0.0,0.0
255,4,0,1,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
256,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
257,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
258,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
259,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
260,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
261,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
262,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
263,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
264,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
265,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
266,4,0,0,4,0.656,MIXED_3+_UNCONFIRMED,0.328,2,2,1,0.0,0.0
267,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
268,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
269,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
270,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
271,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
272,5,0,0,5,0.631,MIXED_3+_UNCONFIRMED,0.316,2,2,1,0.0,0.0
