kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_to_apex_dy,tgt_to_apex_dy,src_to_apex_dist,tgt_to_apex_dist,src_above,tgt_above,both_above,src_descending,tgt_ascending,h30_pass,h30_catch_ok,h30_throw_ok
adjacent,identical_balls_trick_000_018,57,62,5,V_DEEP,12.52,26.954,left,False,885,679.3,543.8,343.5,0.0,344.6,0.0,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,57,63,10,V_DEEP,42.64,7.894,right,False,890,597.9,493.0,394.3,-78.9,397.9,79.6,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,58,60,4,V_DEEP,40.46,7.031,right,False,861,449.8,464.2,14.2,-70.9,14.2,70.9,False,True,False,False,False,True,False,True
adjacent,identical_balls_trick_000_018,58,62,29,V_DEEP,12.52,11.289,left,False,885,679.3,543.8,-65.4,0.0,238.6,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,59,61,11,V_DEEP,18.94,5.303,right,False,879,624.5,648.6,-1.4,0.3,43.4,8.7,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,59,62,13,V_DEEP,12.52,12.529,left,False,885,679.3,543.8,103.5,0.0,104.1,0.0,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,60,65,20,FLAT,101.56,5.334,left,False,956,723.6,456.9,-373.4,0.0,468.6,0.0,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,61,63,5,V_DEEP,24.97,6.34,right,False,895,587.1,429.6,77.7,-15.5,77.7,15.5,False,False,False,False,True,False,False,False
adjacent,identical_balls_trick_000_018,62,65,8,V_DEEP,32.58,11.688,right,False,948,580.7,556.4,-42.2,-99.5,45.0,174.1,True,True,True,False,False,True,True,True
adjacent,identical_balls_trick_000_018,62,67,20,V_DEEP,32.58,11.665,right,False,948,580.7,556.4,-42.2,-258.0,45.0,290.7,True,True,True,False,False,True,True,True
adjacent,identical_balls_trick_000_018,62,68,22,V_DEEP,24.72,4.667,right,False,968,567.1,643.0,-128.7,25.7,132.0,26.4,True,False,False,False,True,True,True,False
adjacent,identical_balls_trick_000_018,62,69,29,V_DEEP,32.58,5.706,right,False,948,580.7,556.4,-42.2,-60.3,45.0,72.9,True,True,True,False,False,True,True,True
adjacent,identical_balls_trick_000_018,63,65,11,V_DEEP,39.9,5.315,left,False,954,748.2,542.8,171.9,-86.0,178.8,89.4,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,63,68,25,V_DEEP,34.83,8.014,right,False,973,561.3,572.4,142.4,96.4,275.8,96.4,False,False,False,True,True,False,False,False
adjacent,identical_balls_trick_000_018,66,67,3,V_DEEP,38.32,6.048,left,False,966,742.7,506.6,-2.6,-208.2,15.6,210.1,False,True,False,False,False,True,False,True
