pattern_v6b,confidence_v6b,source,frame,v2_pattern,v2_confidence,v5_pattern,v5_confidence,smoothed_dirs,n_total
FOUNTAIN_3+,0.7,agree,185,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,186,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,187,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,188,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,189,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,190,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,191,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
FOUNTAIN_3+,0.7,agree,192,MIXED_3+,0.4,FOUNTAIN_3+_DETECTOR_SMOOTHED,0.7,1,3
CASCADE_3+,0.7,agree,193,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,194,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,195,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.431,agree,196,TWO_BALL,0.363,TWO_BALL,0.5,2,2
TWO_BALL,0.431,agree,197,TWO_BALL,0.363,TWO_BALL,0.5,2,2
TWO_BALL,0.431,agree,198,TWO_BALL,0.363,TWO_BALL,0.5,2,2
TWO_BALL,0.431,agree,199,TWO_BALL,0.363,TWO_BALL,0.5,2,2
TWO_BALL,0.431,agree,200,TWO_BALL,0.363,TWO_BALL,0.5,2,2
TWO_BALL,0.431,agree,201,TWO_BALL,0.363,TWO_BALL,0.5,2,2
CASCADE_3+,0.7,agree,202,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,203,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,204,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,205,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
CASCADE_3+,0.7,agree,206,MIXED_3+,0.4,CASCADE_3+_DETECTOR_SMOOTHED,0.7,2,3
TWO_BALL,0.443,agree,207,TWO_BALL,0.385,TWO_BALL,0.5,2,2
SINGLE_BALL,0.486,agree,208,SINGLE_BALL,0.473,SINGLE_BALL,0.5,2,1
NO_BALL,1.0,no_ball,209,NO_BALL,1.0,NO_BALL,1.0,2,0
NO_BALL,1.0,no_ball,210,NO_BALL,1.0,NO_BALL,1.0,2,0
NO_BALL,1.0,no_ball,211,NO_BALL,1.0,NO_BALL,1.0,2,0
SINGLE_BALL,0.494,agree,212,SINGLE_BALL,0.488,SINGLE_BALL,0.5,2,1
SINGLE_BALL,0.494,agree,213,SINGLE_BALL,0.488,SINGLE_BALL,0.5,2,1
NO_BALL,1.0,no_ball,214,NO_BALL,1.0,NO_BALL,1.0,1,0
NO_BALL,1.0,no_ball,215,NO_BALL,1.0,NO_BALL,1.0,1,0
NO_BALL,1.0,no_ball,216,NO_BALL,1.0,NO_BALL,1.0,1,0
NO_BALL,1.0,no_ball,217,NO_BALL,1.0,NO_BALL,1.0,1,0
NO_BALL,1.0,no_ball,218,NO_BALL,1.0,NO_BALL,1.0,1,0
NO_BALL,1.0,no_ball,219,NO_BALL,1.0,NO_BALL,1.0,1,0
SINGLE_BALL,0.494,agree,220,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,221,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,222,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,223,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,224,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,225,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,226,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,227,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,228,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,229,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
SINGLE_BALL,0.494,agree,230,SINGLE_BALL,0.488,SINGLE_BALL,0.5,1,1
