frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total_balls,balls_in_hand,balls_in_air,avg_chain_quality
291,5,0,0,5,,c0|c1|c3|c6|c7,0.631
292,5,0,0,5,,c0|c1|c3|c6|c7,0.631
293,5,0,0,5,,c0|c1|c3|c6|c7,0.631
294,5,0,0,5,,c0|c1|c3|c6|c7,0.631
295,5,0,0,5,,c0|c1|c3|c6|c7,0.631
296,5,0,0,5,,c0|c1|c3|c6|c7,0.631
297,5,0,0,5,,c0|c1|c3|c6|c7,0.631
298,5,0,0,5,,c0|c1|c3|c6|c7,0.631
299,5,0,0,5,,c0|c1|c3|c6|c7,0.631
300,4,0,0,4,,c0|c1|c3|c6,0.654
301,4,0,0,4,,c0|c1|c3|c6,0.654
302,4,0,0,4,,c0|c1|c3|c6,0.654
303,4,0,0,4,,c0|c1|c3|c6,0.654
304,4,0,0,4,,c0|c1|c3|c6,0.654
305,4,0,0,4,,c0|c1|c3|c6,0.654
306,4,0,0,4,,c0|c1|c3|c6,0.654
307,4,0,0,4,,c0|c1|c3|c6,0.654
308,5,0,0,5,,c0|c1|c3|c6|c7,0.631
309,5,0,0,5,,c0|c1|c3|c6|c7,0.631
310,4,0,0,4,,c0|c1|c3|c7,0.548
311,4,0,0,4,,c0|c1|c3|c7,0.548
312,4,0,0,4,,c0|c1|c3|c7,0.548
313,4,0,0,4,,c0|c1|c3|c7,0.548
314,4,0,0,4,,c0|c1|c3|c7,0.548
315,4,0,0,4,,c0|c1|c3|c7,0.548
316,4,0,0,4,,c0|c1|c3|c7,0.548
317,4,0,0,4,,c0|c1|c3|c7,0.548
318,4,0,0,4,,c0|c1|c3|c7,0.548
319,4,0,0,4,,c0|c1|c3|c7,0.548
320,4,0,0,4,,c0|c1|c3|c7,0.548
321,4,0,0,4,,c0|c1|c3|c7,0.548
322,4,0,0,4,,c0|c1|c3|c7,0.548
323,4,0,0,4,,c0|c1|c3|c7,0.548
324,4,0,0,4,,c0|c1|c3|c7,0.548
325,4,0,0,4,,c0|c1|c3|c7,0.548
326,4,0,0,4,,c0|c1|c3|c7,0.548
327,4,0,0,4,,c0|c1|c3|c7,0.548
328,3,0,0,3,,c1|c3|c7,0.553
329,4,0,0,4,,c1|c3|c7|c8,0.552
330,4,0,0,4,,c1|c3|c7|c8,0.552
331,4,0,0,4,,c1|c3|c7|c8,0.552
332,4,0,0,4,,c1|c3|c7|c8,0.552
333,4,0,0,4,,c1|c3|c7|c8,0.552
334,4,0,0,4,,c1|c3|c7|c8,0.552
335,4,0,0,4,,c1|c3|c7|c8,0.552
336,4,0,0,4,,c1|c3|c7|c8,0.552
337,4,0,0,4,,c1|c3|c7|c8,0.552
338,4,0,0,4,,c1|c3|c7|c8,0.552
339,5,0,0,5,,c0|c1|c3|c7|c8,0.548
340,5,0,0,5,,c0|c1|c3|c7|c8,0.548
341,5,0,0,5,,c0|c1|c3|c7|c8,0.548
342,5,0,0,5,,c0|c1|c3|c7|c8,0.548
343,5,0,0,5,,c0|c1|c3|c7|c8,0.548
344,5,0,0,5,,c0|c1|c3|c7|c8,0.548
345,5,0,0,5,,c0|c1|c3|c7|c8,0.548
346,5,0,0,5,,c0|c1|c3|c7|c8,0.548
347,5,0,0,5,,c0|c1|c3|c7|c8,0.548
348,5,0,0,5,,c0|c1|c3|c7|c8,0.548
349,5,0,0,5,,c0|c1|c3|c7|c8,0.548
350,5,0,0,5,,c0|c1|c3|c7|c8,0.548
351,5,0,0,5,,c0|c1|c3|c7|c8,0.548
