frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
103,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
104,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
105,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
106,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
107,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
108,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
109,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
110,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
111,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
112,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
113,1,0,4,HOLD,3,0,0,3,CASCADE_3+,0.688,False,True,False,CASCADE_3+,False
114,0,0,5,THROW,4,1,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
115,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
116,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.687,True,True,True,MIXED_3+,False
117,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
118,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
119,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
120,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
121,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
122,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
123,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
124,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
125,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
126,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
127,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
128,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
129,0,0,5,HOLD,5,0,0,5,MIXED_3+,0.718,True,True,True,MIXED_3+,False
