frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
316,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
317,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
318,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
319,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
320,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
321,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
322,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
323,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
324,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
325,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
326,0,0,5,HOLD,4,0,0,4,MIXED_3+,0.642,True,True,True
327,0,1,4,CATCH,4,0,1,4,MIXED_3+,0.642,True,True,True
328,0,1,4,HOLD,3,0,0,3,MIXED_3+,0.628,True,False,False
329,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.64,True,False,False
330,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.64,True,False,False
331,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.64,True,False,False
332,0,1,4,HOLD,4,0,0,4,MIXED_3+,0.64,True,False,False
