frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
150,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
151,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
152,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
153,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
154,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
155,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
156,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.836,True,True,True,SINGLE_BALL,False
157,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL,False
158,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL,False
159,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL,False
160,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.886,True,True,True,TWO_BALL,False
161,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL,False
162,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL,False
163,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL,False
164,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.936,True,True,True,SINGLE_BALL,False
165,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.72,True,True,True,TWO_BALL,False
166,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.804,True,True,True,MIXED_3+,False
167,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
168,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
169,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
170,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
171,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
172,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
173,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.738,True,True,True,TWO_BALL,False
174,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
175,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
176,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
177,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
178,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
179,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
180,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
181,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
182,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
183,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
184,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.643,True,True,True,MIXED_3+,False
