frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
174,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
175,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
176,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
177,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
178,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
179,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
180,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
181,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
182,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
183,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
184,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
185,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
186,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
187,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
188,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
189,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
190,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
191,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
192,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
193,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
194,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
195,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
196,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
197,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
198,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
199,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
200,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
201,2,0,0,2,0.738,TWO_BALL,0.738,4,0,2,0.0,0.0
202,3,0,0,3,0.643,MIXED_3+,0.643,4,2,2,0.333,0.91
