stem,src,tgt,gap,label,in_h7v3plus3,chain_edge_type,src_end_side,tgt_start_side,cross_hand,end_d,start_d,spatial_jump,v_jump,is_hand_edge,v1_d30_j80,v1_d30_j100,v1_d30_j120,v1_d30_j150,v1_d30_j200,v1_d40_j100,v1_d40_j150,v1_d40_j200,v1_d40_j250,v1_d50_j100,v1_d50_j150,v1_d50_j200,v1_d50_j250,v1_d60_j150,v1_d60_j200,v1_d60_j250,v1_d60_j300,v1_d80_j200,v1_d80_j250,v1_d80_j300,v2_d30,v2_d40,v2_d50,v2_d60,v2_d80,v2_d100
identical_balls_trick_000_018,68,71,8,correct,True,HAND_TRANSITION,right,right,False,12.16,18.59,38.92,4.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,68,72,8,wrong,False,NOT_IN_CHAIN,right,left,True,12.16,16.95,223.32,27.92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,68,70,8,wrong,False,NOT_IN_CHAIN,right,left,True,12.16,197.05,315.44,39.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
identical_balls_trick_000_018,70,74,0,correct,True,HAND_TRANSITION,left,left,False,33.94,101.84,170.0,inf,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
identical_balls_trick_000_018,72,74,0,wrong,False,NOT_IN_CHAIN,right,left,True,53.17,101.84,317.03,inf,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False
identical_balls_trick_000_018,73,75,4,correct,False,NOT_IN_CHAIN,left,left,False,34.05,71.05,142.01,35.5,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,6,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,28.96,10.08,94.81,15.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,9,wrong,False,NOT_IN_CHAIN,left,right,True,28.96,117.14,73.6,8.18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,5,correct,True,RECLASSIFIED_HAND_TRANSITION,right,right,False,8.16,38.17,88.82,17.76,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,6,correct,True,RECLASSIFIED_HAND_TRANSITION,left,left,False,9.76,5.62,47.85,7.97,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
