frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
304,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
305,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
306,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
307,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
308,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
309,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
310,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
311,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
312,3,0,0,3,0.728,MIXED_3+,0.728,4,0,2,0.333,3.53,28
313,2,0,0,2,0.935,TWO_BALL,0.935,4,0,0,0.0,0.0,28
314,2,0,0,2,0.935,TWO_BALL,0.935,4,0,0,0.0,0.0,28
315,2,0,0,2,0.935,TWO_BALL,0.935,4,0,0,0.0,0.0,28
