frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz
160,2,0,0,2,0.639,TWO_BALL,0.639,4,0,0,0.0,0.0
161,1,0,0,1,0.429,SINGLE_BALL,0.429,4,0,0,0.0,0.0
162,1,0,0,1,0.429,SINGLE_BALL,0.429,4,0,0,0.0,0.0
163,1,0,0,1,0.429,SINGLE_BALL,0.429,4,0,0,0.0,0.0
164,1,0,0,1,0.429,SINGLE_BALL,0.429,4,0,0,0.0,0.0
165,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
166,3,0,0,3,0.385,MIXED_3+,0.385,4,0,2,0.333,0.86
167,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
168,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
169,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
170,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
171,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
172,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
173,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
174,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
175,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
176,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
177,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
178,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
179,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
180,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
181,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
182,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
183,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
184,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
185,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
186,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
187,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
188,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
189,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
190,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
191,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
192,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
193,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
194,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
195,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
196,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
197,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
198,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
199,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
200,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
201,2,0,0,2,0.363,TWO_BALL,0.363,4,0,0,0.0,0.0
202,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
203,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
204,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
205,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
206,3,0,0,3,0.4,MIXED_3+,0.4,4,0,2,0.333,0.86
207,2,0,0,2,0.385,TWO_BALL,0.385,4,0,0,0.0,0.0
208,1,0,0,1,0.473,SINGLE_BALL,0.473,4,0,0,0.0,0.0
209,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
210,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
211,0,0,0,0,0.0,NO_BALL,1.0,4,0,0,0.0,0.0
