frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,n_recent_events,same_hand_run,alternation_score,catch_rate_hz,time_span_K
163,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
164,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
165,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
166,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
167,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
168,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
169,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
170,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
171,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
172,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
173,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
174,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
175,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
176,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
177,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
178,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
179,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
180,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
181,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
182,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
183,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
184,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
185,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
186,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
187,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
188,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
189,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
190,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
191,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
192,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
193,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
194,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
195,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
196,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
197,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
198,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
199,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
200,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
201,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
202,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
203,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
204,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
205,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
206,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
207,5,0,0,5,0.715,MIXED_3+,0.715,4,0,2,0.333,2.0,42
208,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
209,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
210,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
211,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
212,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
213,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
214,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
215,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
216,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
217,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
218,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
219,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
220,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
221,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
222,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
223,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
224,5,0,0,5,0.715,MIXED_3+,0.715,4,1,2,0.333,2.0,42
225,5,0,0,5,0.715,MIXED_3+,0.715,4,2,2,0.333,2.0,42
226,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,0.333,2.0,42
227,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,0.333,2.0,42
228,5,0,0,5,0.715,MIXED_3+,0.715,4,3,2,0.333,2.0,42
229,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
230,4,0,0,4,0.695,MIXED_3+,0.695,4,3,2,0.333,2.0,42
