frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
201,2,0,0,2,0.738,TWO_BALL,0.738
202,3,0,0,3,0.643,MIXED_3+,0.643
203,3,0,0,3,0.643,MIXED_3+,0.643
204,3,0,0,3,0.643,MIXED_3+,0.643
205,3,0,0,3,0.643,MIXED_3+,0.643
206,3,0,0,3,0.643,MIXED_3+,0.643
207,2,0,1,2,0.479,TWO_BALL_ONE_HAND,0.479
208,1,0,0,1,0.454,SINGLE_BALL,0.454
212,1,0,0,1,0.316,SINGLE_BALL,0.316
213,1,0,0,1,0.316,SINGLE_BALL,0.316
220,1,0,0,1,0.316,SINGLE_BALL,0.316
221,1,0,0,1,0.316,SINGLE_BALL,0.316
222,1,0,0,1,0.316,SINGLE_BALL,0.316
223,1,0,0,1,0.316,SINGLE_BALL,0.316
224,1,0,0,1,0.316,SINGLE_BALL,0.316
225,1,0,0,1,0.316,SINGLE_BALL,0.316
226,1,0,0,1,0.316,SINGLE_BALL,0.316
227,1,0,0,1,0.316,SINGLE_BALL,0.316
228,1,0,0,1,0.316,SINGLE_BALL,0.316
229,1,0,0,1,0.316,SINGLE_BALL,0.316
230,1,0,0,1,0.316,SINGLE_BALL,0.316
231,1,0,0,1,0.316,SINGLE_BALL,0.316
232,3,0,1,3,0.593,FOUNTAIN_3+,0.593
233,3,0,0,3,0.593,FOUNTAIN_3+,0.593
234,3,0,0,3,0.593,FOUNTAIN_3+,0.593
235,3,0,1,3,0.593,FOUNTAIN_3+,0.593
236,2,0,0,2,0.637,TWO_BALL,0.637
237,2,0,0,2,0.637,TWO_BALL,0.637
238,2,0,0,2,0.637,TWO_BALL,0.637
239,2,0,0,2,0.637,TWO_BALL,0.637
240,2,0,0,2,0.637,TWO_BALL,0.637
241,2,0,0,2,0.637,TWO_BALL,0.637
242,2,0,0,2,0.637,TWO_BALL,0.637
243,3,0,1,3,0.593,FOUNTAIN_3+,0.593
244,3,0,0,3,0.593,FOUNTAIN_3+,0.593
245,3,0,0,3,0.593,FOUNTAIN_3+,0.593
246,3,0,0,3,0.593,FOUNTAIN_3+,0.593
247,3,0,0,3,0.593,FOUNTAIN_3+,0.593
248,3,0,0,3,0.593,FOUNTAIN_3+,0.593
249,3,0,0,3,0.593,FOUNTAIN_3+,0.593
250,3,0,0,3,0.593,FOUNTAIN_3+,0.593
251,3,0,0,3,0.593,FOUNTAIN_3+,0.593
252,3,1,0,3,0.593,FOUNTAIN_3+,0.593
253,2,0,0,2,0.731,TWO_BALL,0.731
254,2,0,0,2,0.731,TWO_BALL,0.731
255,2,0,0,2,0.731,TWO_BALL,0.731
256,1,0,0,1,0.958,SINGLE_BALL,0.958
257,2,0,0,2,0.935,TWO_BALL,0.935
258,2,0,0,2,0.935,TWO_BALL,0.935
259,2,0,0,2,0.935,TWO_BALL,0.935
260,2,0,0,2,0.935,TWO_BALL,0.935
261,2,0,0,2,0.935,TWO_BALL,0.935
262,2,0,0,2,0.935,TWO_BALL,0.935
263,3,1,0,3,0.728,FOUNTAIN_3+,0.728
264,3,0,0,3,0.728,FOUNTAIN_3+,0.728
265,3,0,0,3,0.728,FOUNTAIN_3+,0.728
266,3,0,0,3,0.728,FOUNTAIN_3+,0.728
267,3,0,0,3,0.728,FOUNTAIN_3+,0.728
268,3,0,0,3,0.728,FOUNTAIN_3+,0.728
269,3,0,0,3,0.728,FOUNTAIN_3+,0.728
270,3,0,0,3,0.728,FOUNTAIN_3+,0.728
271,3,0,0,3,0.728,FOUNTAIN_3+,0.728
272,3,0,0,3,0.728,FOUNTAIN_3+,0.728
273,3,0,0,3,0.728,FOUNTAIN_3+,0.728
274,3,0,0,3,0.728,FOUNTAIN_3+,0.728
275,3,0,0,3,0.728,FOUNTAIN_3+,0.728
276,3,0,0,3,0.728,FOUNTAIN_3+,0.728
277,3,0,0,3,0.728,FOUNTAIN_3+,0.728
278,3,0,0,3,0.728,FOUNTAIN_3+,0.728
279,3,0,0,3,0.728,FOUNTAIN_3+,0.728
280,3,0,0,3,0.728,FOUNTAIN_3+,0.728
281,3,0,0,3,0.728,FOUNTAIN_3+,0.728
282,3,0,0,3,0.728,FOUNTAIN_3+,0.728
283,3,0,0,3,0.728,FOUNTAIN_3+,0.728
284,3,0,0,3,0.728,FOUNTAIN_3+,0.728
285,3,0,0,3,0.728,FOUNTAIN_3+,0.728
286,3,0,0,3,0.728,FOUNTAIN_3+,0.728
287,3,0,0,3,0.728,FOUNTAIN_3+,0.728
288,3,0,0,3,0.728,FOUNTAIN_3+,0.728
289,3,0,0,3,0.728,FOUNTAIN_3+,0.728
290,3,0,0,3,0.728,FOUNTAIN_3+,0.728
291,3,0,0,3,0.728,FOUNTAIN_3+,0.728
292,3,0,0,3,0.728,FOUNTAIN_3+,0.728
293,3,0,0,3,0.728,FOUNTAIN_3+,0.728
294,3,0,0,3,0.728,FOUNTAIN_3+,0.728
295,3,0,0,3,0.728,FOUNTAIN_3+,0.728
296,3,0,0,3,0.728,FOUNTAIN_3+,0.728
297,3,0,0,3,0.728,FOUNTAIN_3+,0.728
298,3,0,0,3,0.728,FOUNTAIN_3+,0.728
299,3,0,0,3,0.728,FOUNTAIN_3+,0.728
300,3,0,0,3,0.728,FOUNTAIN_3+,0.728
301,3,0,0,3,0.728,FOUNTAIN_3+,0.728
302,3,0,0,3,0.728,FOUNTAIN_3+,0.728
303,3,0,0,3,0.728,FOUNTAIN_3+,0.728
304,3,0,0,3,0.728,FOUNTAIN_3+,0.728
305,3,0,0,3,0.728,FOUNTAIN_3+,0.728
306,3,0,0,3,0.728,FOUNTAIN_3+,0.728
307,3,0,0,3,0.728,FOUNTAIN_3+,0.728
308,3,0,0,3,0.728,FOUNTAIN_3+,0.728
309,3,0,0,3,0.728,FOUNTAIN_3+,0.728
310,3,0,0,3,0.728,FOUNTAIN_3+,0.728
311,3,0,0,3,0.728,FOUNTAIN_3+,0.728
312,3,0,0,3,0.728,FOUNTAIN_3+,0.728
313,2,0,0,2,0.935,TWO_BALL,0.935
314,2,0,0,2,0.935,TWO_BALL,0.935
315,2,0,0,2,0.935,TWO_BALL,0.935
316,2,0,0,2,0.935,TWO_BALL,0.935
317,2,0,0,2,0.935,TWO_BALL,0.935
318,2,0,0,2,0.935,TWO_BALL,0.935
319,2,0,0,2,0.935,TWO_BALL,0.935
320,2,0,0,2,0.935,TWO_BALL,0.935
321,2,0,0,2,0.935,TWO_BALL,0.935
322,2,0,0,2,0.935,TWO_BALL,0.935
323,2,0,0,2,0.935,TWO_BALL,0.935
324,2,0,0,2,0.935,TWO_BALL,0.935
325,2,0,0,2,0.935,TWO_BALL,0.935
326,2,0,0,2,0.935,TWO_BALL,0.935
327,2,0,0,2,0.935,TWO_BALL,0.935
328,2,0,0,2,0.935,TWO_BALL,0.935
329,1,0,0,1,0.911,SINGLE_BALL,0.911
330,1,0,0,1,0.911,SINGLE_BALL,0.911
331,1,0,0,1,0.911,SINGLE_BALL,0.911
332,1,0,0,1,0.911,SINGLE_BALL,0.911
