video,stem,source_tracklet,candidate_tracklet,gap_frames,original_rank,label,cv2,cvls3,cvls4,cvls6,cvls8,cvls10,cvls12,bal3,bal4,bal6,bal8,bal10,bal12,kalman
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,47,9,2,wrong,182.171113,182.16617492195013,182.1641358431733,182.1648777398887,182.4910550370151,183.2488413208227,183.2117079693955,182.2236842043225,182.19543912623746,182.16749486248773,178.07812264597382,176.53614840393047,179.68008387339424,179.11337370484333
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,47,52,3,1,correct,25.073314,25.074530890150665,25.07389682458635,25.073890675081728,25.592633986034357,24.443870482989368,23.713898433745392,25.074530890150616,25.07989535928218,25.073890675081774,23.807972395812104,26.88224635425505,28.126435050479785,26.831459594812106
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,55,0,1,correct,90.852687,90.85268728001392,90.85268728001392,90.85268728001387,86.81519412065286,85.60782063342367,88.98997557706491,90.85268728001395,90.85268728001404,90.85268728001384,94.98015728105652,91.56994650690831,84.47889780378624,91.12995099873923
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,56,3,2,correct,157.394301,157.39430081804113,157.39430081804116,157.39430081804105,149.06852738380954,146.78086986456316,152.56540306379785,157.39430081804144,157.39430081804193,157.394300818041,176.78411728137317,164.09439947473183,140.94004061397118,166.93994008857828
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,52,4,1,correct,59.258427,59.258426818470284,59.25897291457274,58.3390420543062,58.3390420543062,58.3390420543062,58.3390420543062,59.25842681847534,59.25897291457344,62.85119194532381,62.85119194532381,62.85119194532381,62.85119194532381,37.54904700584326
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,53,5,1,wrong,358.010666,358.01066641651886,358.01322796231983,358.01282543342785,356.2666847792381,359.3727609589218,361.8256595636625,358.0106664165168,358.0002998602937,358.0128254334264,361.2935730373122,345.4069650683177,340.2869366770993,353.86239134907134
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,58,10,1,correct,487.539599,487.53553542781805,487.5363720918678,487.5366008945962,504.94902777783085,506.43188947669825,495.6685726460314,487.60491040606024,487.5363720918733,487.53970086168374,398.9809344725587,471.34475747309733,541.2110396334155,438.2390755102876
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,57,3,1,correct,119.945574,119.94557407841279,119.94577093403547,119.94584593086643,103.56270011888704,100.05124008732186,112.41541540785347,119.94557407841279,119.94577093403575,119.94584593086665,157.52925046758764,130.43623662780195,84.46143123123191,137.28926430448738
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,57,4,1,wrong,256.470427,256.471571329282,256.4728637943987,256.4727595857117,240.61508085789274,235.34591980768647,245.1961762992374,256.47157132928237,256.4636051365025,256.4727595857122,297.7576809246724,272.56889482617765,225.88281970713697,285.96583784818995
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,57,63,4,1,wrong,669.978035,669.9753866925097,669.9759493787894,669.9769943676122,672.9147892423537,675.375437328118,668.967407632953,669.9929292679134,669.9759493787843,669.973211602751,647.8319571927008,659.2237994738178,685.4989373943694,670.2845055626094
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,61,8,1,correct,210.937636,210.93658526386028,248.76225105176263,225.13112998702582,202.9544038536842,195.15588195206155,188.67578907326174,210.93658526387546,136.9142676318042,327.29676946998643,352.04973044766103,296.6449769700299,268.5737142333587,295.07659399859693
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,62,10,2,wrong,357.070626,357.07089493653484,405.9326511288544,375.82488627883504,347.37332474433396,336.9803036502426,328.3992839106437,357.0708949365575,133.36159683474713,519.2682221061522,553.1951955881492,475.50276941210086,436.38036642359,480.9832022131729
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,60,64,2,1,correct,112.144531,112.14286915904289,112.143234691086,112.14302012703753,106.89513972438469,105.32633982797003,108.36393784628311,112.15053578908035,112.14323469108592,112.14302012703743,122.11437107208405,115.53669938919302,103.99610214994958,117.14984392061176
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,66,3,1,correct,80.112119,80.11006164247456,80.10961496955206,80.10987326211186,81.5624677535087,83.2630102203134,82.53708048948734,80.11006164247492,80.10733931003158,80.10987326211252,75.74770331268823,78.7010742072138,87.0957176563564,75.38648638951153
