video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,40,0.667333,botsort,52,32,sports ball,0.629672,365.441,445.741,410.613,489.948,388.000,468.000,45.172,44.207
identical_balls_trick_000_018.mp4,41,0.684017,botsort,44,32,sports ball,0.648435,513.222,196.101,557.472,240.995,535.000,219.000,44.250,44.894
identical_balls_trick_000_018.mp4,41,0.684017,botsort,52,32,sports ball,0.777797,362.094,451.132,405.439,495.598,384.000,473.000,43.344,44.466
identical_balls_trick_000_018.mp4,42,0.700700,botsort,44,32,sports ball,0.680988,511.969,197.449,556.139,242.860,534.000,220.000,44.171,45.411
identical_balls_trick_000_018.mp4,42,0.700700,botsort,52,32,sports ball,0.671334,362.663,454.329,405.575,498.289,384.000,476.000,42.912,43.960
identical_balls_trick_000_018.mp4,43,0.717383,botsort,44,32,sports ball,0.725420,510.401,200.812,554.841,246.013,533.000,223.000,44.440,45.201
identical_balls_trick_000_018.mp4,43,0.717383,botsort,52,32,sports ball,0.651514,367.808,453.661,413.984,498.202,391.000,476.000,46.176,44.542
identical_balls_trick_000_018.mp4,44,0.734067,botsort,44,32,sports ball,0.671184,508.559,205.694,553.359,251.243,531.000,228.000,44.800,45.549
identical_balls_trick_000_018.mp4,44,0.734067,botsort,52,32,sports ball,0.786438,376.012,449.583,422.972,495.304,399.000,472.000,46.959,45.721
identical_balls_trick_000_018.mp4,45,0.750750,botsort,44,32,sports ball,0.613023,506.932,212.417,551.865,257.924,529.000,235.000,44.934,45.507
identical_balls_trick_000_018.mp4,45,0.750750,botsort,52,32,sports ball,0.645827,388.994,443.553,435.583,488.751,412.000,466.000,46.590,45.198
identical_balls_trick_000_018.mp4,46,0.767433,botsort,44,32,sports ball,0.585212,505.913,221.245,550.359,266.622,528.000,244.000,44.445,45.376
identical_balls_trick_000_018.mp4,47,0.784117,botsort,,32,sports ball,0.429079,504.809,239.490,548.524,283.723,527.000,262.000,43.715,44.232
identical_balls_trick_000_018.mp4,47,0.784117,botsort,,32,sports ball,0.252420,434.801,423.378,481.265,467.927,458.000,446.000,46.464,44.549
identical_balls_trick_000_018.mp4,48,0.800800,botsort,,32,sports ball,0.528441,503.751,252.074,547.080,297.113,525.000,275.000,43.329,45.040
identical_balls_trick_000_018.mp4,48,0.800800,botsort,,32,sports ball,0.434797,462.960,415.982,511.405,458.512,487.000,437.000,48.444,42.531
identical_balls_trick_000_018.mp4,49,0.817483,botsort,,32,sports ball,0.439245,493.918,407.694,541.053,451.936,517.000,430.000,47.134,44.242
identical_balls_trick_000_018.mp4,49,0.817483,botsort,,32,sports ball,0.284275,501.488,266.605,545.424,311.781,523.000,289.000,43.935,45.176
identical_balls_trick_000_018.mp4,49,0.817483,botsort,,32,sports ball,0.277221,711.448,462.903,756.904,508.521,734.000,486.000,45.456,45.618
identical_balls_trick_000_018.mp4,50,0.834167,botsort,65,32,sports ball,0.756161,500.905,279.608,544.363,323.786,523.000,302.000,43.458,44.177
identical_balls_trick_000_018.mp4,51,0.850850,botsort,65,32,sports ball,0.685294,499.690,296.947,543.405,341.755,522.000,319.000,43.714,44.807
identical_balls_trick_000_018.mp4,51,0.850850,botsort,3,32,sports ball,0.725370,553.890,400.053,603.585,445.344,579.000,423.000,49.695,45.291
identical_balls_trick_000_018.mp4,52,0.867533,botsort,65,32,sports ball,0.854965,498.011,317.756,542.699,363.648,520.000,341.000,44.688,45.891
identical_balls_trick_000_018.mp4,53,0.884217,botsort,65,32,sports ball,0.586401,496.787,339.658,541.416,386.010,519.000,363.000,44.629,46.353
identical_balls_trick_000_018.mp4,54,0.900900,botsort,65,32,sports ball,0.785672,495.775,363.366,539.934,408.836,518.000,386.000,44.160,45.470
identical_balls_trick_000_018.mp4,55,0.917583,botsort,65,32,sports ball,0.629518,494.622,388.164,538.933,434.006,517.000,411.000,44.311,45.841
identical_balls_trick_000_018.mp4,56,0.934267,botsort,65,32,sports ball,0.702504,493.929,414.248,537.596,460.543,516.000,437.000,43.667,46.295
identical_balls_trick_000_018.mp4,57,0.950950,botsort,65,32,sports ball,0.196223,492.108,443.596,536.222,487.974,514.000,466.000,44.113,44.378
identical_balls_trick_000_018.mp4,58,0.967633,botsort,,32,sports ball,0.403947,693.305,276.318,738.204,320.782,716.000,299.000,44.899,44.464
identical_balls_trick_000_018.mp4,58,0.967633,botsort,,32,sports ball,0.299266,491.764,477.652,534.726,522.746,513.000,500.000,42.962,45.094
identical_balls_trick_000_018.mp4,59,0.984317,botsort,78,32,sports ball,0.701500,691.554,267.464,736.511,312.103,714.000,290.000,44.958,44.639
identical_balls_trick_000_018.mp4,60,1.001000,botsort,78,32,sports ball,0.603774,690.148,258.075,735.545,302.888,713.000,280.000,45.397,44.813
identical_balls_trick_000_018.mp4,61,1.017683,botsort,78,32,sports ball,0.617790,688.711,249.086,733.746,293.446,711.000,271.000,45.035,44.360
identical_balls_trick_000_018.mp4,62,1.034367,botsort,78,32,sports ball,0.679461,686.825,241.249,731.884,285.762,709.000,264.000,45.060,44.512
identical_balls_trick_000_018.mp4,63,1.051050,botsort,78,32,sports ball,0.597561,685.039,235.529,730.631,280.734,708.000,258.000,45.593,45.205
identical_balls_trick_000_018.mp4,64,1.067733,botsort,78,32,sports ball,0.518087,683.776,232.283,729.349,277.411,707.000,255.000,45.573,45.128
identical_balls_trick_000_018.mp4,65,1.084417,botsort,78,32,sports ball,0.445026,682.008,230.907,727.693,275.909,705.000,253.000,45.685,45.002
identical_balls_trick_000_018.mp4,66,1.101100,botsort,78,32,sports ball,0.501049,680.961,231.234,726.053,276.312,704.000,254.000,45.092,45.078
identical_balls_trick_000_018.mp4,67,1.117783,botsort,78,32,sports ball,0.649342,680.116,233.117,724.623,278.538,702.000,256.000,44.507,45.421
identical_balls_trick_000_018.mp4,67,1.117783,botsort,85,32,sports ball,0.458305,524.088,608.297,567.215,653.157,546.000,631.000,43.127,44.860
identical_balls_trick_000_018.mp4,68,1.134467,botsort,78,32,sports ball,0.676155,679.576,237.105,723.701,282.426,702.000,260.000,44.125,45.321
identical_balls_trick_000_018.mp4,69,1.151150,botsort,78,32,sports ball,0.561732,678.308,243.244,722.881,288.149,701.000,266.000,44.573,44.905
identical_balls_trick_000_018.mp4,70,1.167833,botsort,78,32,sports ball,0.723356,677.055,251.018,721.428,295.755,699.000,273.000,44.373,44.737
identical_balls_trick_000_018.mp4,71,1.184517,botsort,78,32,sports ball,0.481470,675.963,260.708,719.722,304.614,698.000,283.000,43.759,43.907
identical_balls_trick_000_018.mp4,72,1.201200,botsort,78,32,sports ball,0.658060,675.150,271.885,718.835,316.336,697.000,294.000,43.684,44.451
identical_balls_trick_000_018.mp4,73,1.217883,botsort,78,32,sports ball,0.481433,673.804,284.925,718.146,329.918,696.000,307.000,44.342,44.993
identical_balls_trick_000_018.mp4,74,1.234567,botsort,,32,sports ball,0.556265,540.640,454.259,585.948,499.747,563.000,477.000,45.308,45.488
identical_balls_trick_000_018.mp4,74,1.234567,botsort,,32,sports ball,0.376699,724.043,441.962,768.002,484.667,746.000,463.000,43.959,42.705
identical_balls_trick_000_018.mp4,74,1.234567,botsort,,32,sports ball,0.337694,672.464,305.805,715.919,350.475,694.000,328.000,43.455,44.670
identical_balls_trick_000_018.mp4,75,1.251250,botsort,,32,sports ball,0.494212,671.414,321.593,715.466,367.725,693.000,345.000,44.052,46.132
identical_balls_trick_000_018.mp4,75,1.251250,botsort,,32,sports ball,0.395996,692.932,436.035,736.996,479.705,715.000,458.000,44.064,43.670
identical_balls_trick_000_018.mp4,75,1.251250,botsort,,32,sports ball,0.373051,539.626,425.605,585.168,471.836,562.000,449.000,45.542,46.230
identical_balls_trick_000_018.mp4,76,1.267933,botsort,,32,sports ball,0.580536,539.619,399.518,585.199,445.474,562.000,422.000,45.581,45.956
identical_balls_trick_000_018.mp4,76,1.267933,botsort,,32,sports ball,0.393416,670.841,341.254,714.416,385.885,693.000,364.000,43.575,44.631
identical_balls_trick_000_018.mp4,76,1.267933,botsort,,32,sports ball,0.316391,660.747,432.779,707.635,477.061,684.000,455.000,46.887,44.281
identical_balls_trick_000_018.mp4,77,1.284617,botsort,,32,sports ball,0.871011,538.706,372.468,584.440,419.382,562.000,396.000,45.735,46.914
identical_balls_trick_000_018.mp4,77,1.284617,botsort,,32,sports ball,0.822590,628.875,430.223,676.490,475.273,653.000,453.000,47.615,45.050
identical_balls_trick_000_018.mp4,77,1.284617,botsort,,32,sports ball,0.607436,669.916,361.026,713.684,406.246,692.000,384.000,43.768,45.220
identical_balls_trick_000_018.mp4,78,1.301300,botsort,,32,sports ball,0.800587,537.824,349.459,583.811,396.011,561.000,373.000,45.987,46.551
identical_balls_trick_000_018.mp4,78,1.301300,botsort,,32,sports ball,0.793558,598.153,430.636,645.232,475.035,622.000,453.000,47.079,44.399
identical_balls_trick_000_018.mp4,78,1.301300,botsort,,32,sports ball,0.541768,668.531,383.808,712.738,427.439,691.000,406.000,44.207,43.632
identical_balls_trick_000_018.mp4,79,1.317983,botsort,106,32,sports ball,0.848089,537.285,332.284,583.165,379.091,560.000,356.000,45.880,46.807
identical_balls_trick_000_018.mp4,80,1.334667,botsort,106,32,sports ball,0.788649,536.540,313.325,581.980,360.364,559.000,337.000,45.440,47.039
identical_balls_trick_000_018.mp4,81,1.351350,botsort,106,32,sports ball,0.531228,536.483,293.052,580.983,340.098,559.000,317.000,44.499,47.045
identical_balls_trick_000_018.mp4,82,1.368033,botsort,,32,sports ball,0.264476,534.406,272.876,579.524,318.707,557.000,296.000,45.118,45.830
identical_balls_trick_000_018.mp4,83,1.384717,botsort,106,32,sports ball,0.508617,533.224,259.134,578.501,305.173,556.000,282.000,45.278,46.039
