video,frame,time_seconds,person_index,person_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence
videos/identical_balls_trick_000_018.mp4,110,1.835167,0,0.932875,774.751404,472.522919,0.990581,511.728760,538.026062,0.956408
videos/identical_balls_trick_000_018.mp4,111,1.851850,0,0.918117,784.453613,473.527985,0.991871,516.131287,541.790161,0.978010
videos/identical_balls_trick_000_018.mp4,112,1.868533,0,0.924734,787.907715,477.191650,0.993172,520.077820,543.178406,0.989381
videos/identical_balls_trick_000_018.mp4,113,1.885217,0,0.924674,795.013184,476.553955,0.995151,523.986755,546.292908,0.989927
videos/identical_balls_trick_000_018.mp4,114,1.901900,0,0.922888,799.426270,476.474335,0.995196,530.064087,556.820374,0.989678
videos/identical_balls_trick_000_018.mp4,115,1.918583,0,0.920899,804.063171,476.708649,0.995234,533.985168,560.696167,0.988696
videos/identical_balls_trick_000_018.mp4,116,1.935267,0,0.922273,808.007324,477.932037,0.995240,538.103455,562.680847,0.989454
videos/identical_balls_trick_000_018.mp4,117,1.951950,0,0.922206,807.533020,478.372070,0.995198,541.598694,562.561829,0.989829
videos/identical_balls_trick_000_018.mp4,118,1.968633,0,0.921129,803.221252,478.343109,0.995079,544.892090,560.772888,0.989564
videos/identical_balls_trick_000_018.mp4,119,1.985317,0,0.919212,799.072266,478.004486,0.994875,547.114929,554.208679,0.989804
videos/identical_balls_trick_000_018.mp4,120,2.002000,0,0.917531,796.084900,476.159576,0.994808,545.239014,545.630371,0.991183
videos/identical_balls_trick_000_018.mp4,121,2.018683,0,0.915532,789.173035,474.626923,0.994470,545.920654,537.788696,0.991329
videos/identical_balls_trick_000_018.mp4,122,2.035367,0,0.916198,781.108704,475.572876,0.992827,544.661987,525.182068,0.992218
videos/identical_balls_trick_000_018.mp4,123,2.052050,0,0.922391,777.637207,473.846558,0.991552,542.931274,515.079285,0.992413
videos/identical_balls_trick_000_018.mp4,124,2.068733,0,0.934000,768.993408,475.142578,0.990330,544.720764,510.584991,0.992574
videos/identical_balls_trick_000_018.mp4,125,2.085417,0,0.946828,761.454346,475.434723,0.991243,547.999329,495.706635,0.993374
videos/identical_balls_trick_000_018.mp4,126,2.102100,0,0.937019,757.565613,478.582031,0.981655,538.280823,486.255707,0.994953
videos/identical_balls_trick_000_018.mp4,127,2.118783,0,0.936942,755.076416,481.304077,0.981147,534.663757,476.940430,0.995058
videos/identical_balls_trick_000_018.mp4,128,2.135467,0,0.936749,750.853577,483.418793,0.984861,527.456787,468.622650,0.994926
videos/identical_balls_trick_000_018.mp4,129,2.152150,0,0.934185,751.058411,484.823334,0.979720,525.759888,464.895599,0.995136
videos/identical_balls_trick_000_018.mp4,130,2.168833,0,0.935334,751.656494,494.710480,0.985558,521.010437,464.348846,0.994788
videos/identical_balls_trick_000_018.mp4,131,2.185517,0,0.935704,756.002258,496.084839,0.980219,518.043823,465.540436,0.994118
videos/identical_balls_trick_000_018.mp4,132,2.202200,0,0.717895,763.777588,502.994049,0.970729,516.277161,471.890350,0.993514
videos/identical_balls_trick_000_018.mp4,133,2.218883,0,0.940794,768.110657,513.251648,0.953096,514.242371,476.708832,0.989564
videos/identical_balls_trick_000_018.mp4,134,2.235567,0,0.937446,770.925781,510.007202,0.972893,515.605164,481.467194,0.989468
videos/identical_balls_trick_000_018.mp4,135,2.252250,0,0.935196,772.179138,522.119324,0.981876,515.974792,485.656647,0.990599
videos/identical_balls_trick_000_018.mp4,136,2.268933,0,0.938292,774.655945,532.015198,0.985988,513.195923,499.854767,0.986330
videos/identical_balls_trick_000_018.mp4,137,2.285617,0,0.940614,775.459961,538.421753,0.989236,514.195862,511.530182,0.980606
videos/identical_balls_trick_000_018.mp4,138,2.302300,0,0.940996,775.499756,544.975586,0.987908,516.570068,517.288635,0.969391
videos/identical_balls_trick_000_018.mp4,139,2.318983,0,0.940014,774.363708,548.160950,0.987179,519.178101,523.886536,0.952490
