video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
videos/AfNIkaVQNY4/02_0027_0030.mp4,54,0.900900,0,0.905776,193.509,1097.535,394.240,0.997307,1097.535,394.240,917.615,465.477,0.998331,917.615,465.477,1165.084,232.230,0.991956,1165.084,232.230,891.196,624.937,0.992280,891.196,628.896,1050.607,172.674,0.975368,1050.607,172.674,887.226,730.389,0.991299,887.226,733.465
videos/AfNIkaVQNY4/02_0027_0030.mp4,55,0.917583,0,0.897914,198.345,1095.897,388.335,0.995897,1095.897,388.335,912.752,464.484,0.998501,914.437,464.484,1147.607,215.359,0.983311,1147.607,215.359,890.587,625.254,0.992812,891.196,626.465,1015.792,166.093,0.956921,1015.792,172.674,886.107,736.086,0.991793,886.107,736.086
videos/AfNIkaVQNY4/02_0027_0030.mp4,56,0.934267,0,0.893412,192.183,1086.825,385.369,0.993949,1086.825,385.891,911.561,464.215,0.998420,912.752,464.298,1132.401,207.654,0.976895,1132.401,207.654,890.769,628.896,0.991985,890.769,626.465,1000.103,172.196,0.949677,1000.103,172.674,884.858,743.986,0.989481,885.269,743.986
videos/AfNIkaVQNY4/02_0027_0030.mp4,57,0.950950,0,0.890507,189.284,1081.814,374.682,0.992329,1081.814,385.369,914.437,463.075,0.998294,911.561,464.298,1116.096,199.494,0.969315,1116.096,200.540,891.215,626.465,0.993934,890.587,628.896,993.611,177.262,0.929279,993.611,177.262,885.269,749.567,0.991719,884.858,749.567
videos/AfNIkaVQNY4/02_0027_0030.mp4,58,0.967633,0,0.870811,185.544,1078.533,385.891,0.990281,1078.533,385.369,910.370,464.298,0.996529,911.561,464.215,1100.291,200.540,0.957296,1100.291,200.540,890.302,628.966,0.991069,890.769,628.896,982.422,183.187,0.874317,984.827,183.187,883.449,756.147,0.987953,884.858,749.567
videos/AfNIkaVQNY4/02_0027_0030.mp4,59,0.984317,0,0.873826,185.348,1069.408,382.643,0.989041,1069.408,385.891,905.769,469.684,0.996730,910.370,464.298,1095.389,195.266,0.959838,1100.291,200.540,882.668,634.182,0.991347,890.302,628.966,984.827,183.986,0.896404,982.422,183.986,884.349,768.890,0.987278,885.269,756.147
videos/AfNIkaVQNY4/02_0027_0030.mp4,60,1.001000,0,0.845921,38.620,993.212,424.553,0.988381,1054.482,394.541,968.469,454.206,0.992246,905.769,469.684,983.649,332.428,0.835466,1100.291,214.529,952.227,503.880,0.939004,883.221,634.182,928.658,385.708,0.837521,982.422,184.082,900.658,640.770,0.966016,891.605,768.890
videos/AfNIkaVQNY4/02_0027_0030.mp4,61,1.017683,0,0.879834,183.366,1054.482,396.831,0.992935,1052.912,394.541,894.288,486.057,0.997133,894.288,486.057,1107.762,214.529,0.985811,1107.762,226.607,883.221,658.369,0.994320,882.668,658.369,975.403,184.082,0.948734,983.612,193.518,891.605,794.587,0.988270,895.763,794.587
videos/AfNIkaVQNY4/02_0027_0030.mp4,62,1.034367,0,0.896208,188.425,1052.912,394.541,0.995314,1052.912,396.831,889.393,488.166,0.997975,889.393,488.166,1119.421,226.607,0.994222,1119.421,247.696,882.638,665.253,0.995718,882.638,665.253,983.612,193.518,0.983717,983.612,197.678,895.763,806.527,0.992322,898.767,806.527
videos/AfNIkaVQNY4/02_0027_0030.mp4,63,1.051050,0,0.914281,196.242,1051.398,391.668,0.996408,1052.912,396.831,882.544,491.665,0.998500,882.544,491.665,1139.570,247.696,0.994886,1139.570,247.696,879.748,669.650,0.995351,879.748,669.650,1009.444,197.678,0.989201,1009.444,197.678,898.973,817.346,0.993214,898.767,817.346
videos/AfNIkaVQNY4/02_0027_0030.mp4,64,1.067733,0,0.913659,199.105,1053.683,398.066,0.996907,1052.772,398.066,879.546,494.601,0.998322,879.546,494.601,1162.922,270.863,0.994873,1162.922,270.863,877.082,671.449,0.993693,878.246,671.449,1036.418,197.689,0.991095,1036.418,197.689,898.767,818.531,0.991532,898.973,818.531
videos/AfNIkaVQNY4/02_0027_0030.mp4,65,1.084417,0,0.915499,198.449,1052.772,405.838,0.997943,1051.398,405.838,877.367,498.655,0.998280,877.367,498.655,1180.440,306.945,0.995913,1180.440,306.945,877.292,676.240,0.994164,877.292,676.240,1081.888,214.332,0.990344,1081.888,214.332,901.854,822.596,0.991928,901.854,822.596
videos/AfNIkaVQNY4/02_0027_0030.mp4,66,1.101100,0,0.921078,200.178,1049.973,415.026,0.998497,1049.973,415.026,871.724,506.125,0.998198,871.724,506.125,1191.266,347.957,0.997167,1191.266,347.957,878.246,685.804,0.994282,877.161,685.804,1123.056,249.229,0.992905,1123.056,249.229,908.411,828.238,0.991041,908.411,828.238
videos/AfNIkaVQNY4/02_0027_0030.mp4,67,1.117783,0,0.925994,196.298,1045.592,427.781,0.998372,1048.514,427.781,868.779,513.047,0.997705,868.779,513.047,1196.733,394.130,0.997434,1195.375,394.130,877.161,693.892,0.993384,877.161,693.892,1158.817,284.747,0.994991,1158.817,284.747,911.955,832.945,0.989558,911.955,832.945
videos/AfNIkaVQNY4/02_0027_0030.mp4,68,1.134467,0,0.924660,198.911,1045.367,434.574,0.998099,1048.514,434.574,865.225,518.924,0.997319,865.225,518.924,1195.375,435.950,0.994902,1196.733,435.950,876.906,696.931,0.992500,876.906,696.931,1182.498,340.470,0.990584,1181.190,340.470,917.543,836.943,0.993623,917.543,836.943
