frame,time_seconds,track_id,confidence,center_x,center_y
115,1.918583,17,0.636941,535.319,595.243
116,1.935267,16,0.248900,749.724,203.302
116,1.935267,17,0.203645,542.742,608.363
117,1.951950,16,0.426753,751.353,204.664
117,1.951950,17,0.398800,550.402,617.611
117,1.951950,18,0.457047,872.068,479.866
118,1.968633,16,0.592478,752.817,207.870
118,1.968633,17,0.322072,558.472,621.351
118,1.968633,18,0.562964,872.861,481.559
119,1.985317,16,0.154505,754.340,213.304
119,1.985317,17,0.322072,564.070,631.760
119,1.985317,18,0.726858,870.608,480.275
120,2.002000,16,0.508039,755.878,220.950
120,2.002000,17,0.322072,569.667,642.169
120,2.002000,18,0.581109,864.948,475.826
121,2.018683,16,0.382236,757.343,230.295
121,2.018683,17,0.322072,575.265,652.579
121,2.018683,18,0.562545,855.287,468.809
121,2.018683,19,0.384705,575.212,582.719
122,2.035367,16,0.411998,758.983,241.390
122,2.035367,17,0.322072,580.863,662.988
122,2.035367,18,0.292366,841.273,459.801
122,2.035367,19,0.384705,576.252,578.979
123,2.052050,16,0.336724,760.484,254.637
123,2.052050,17,0.322072,586.461,673.397
123,2.052050,18,0.292366,834.468,455.344
123,2.052050,19,0.384705,577.293,575.239
124,2.068733,16,0.298496,761.845,269.920
124,2.068733,18,0.292366,827.663,450.887
124,2.068733,19,0.384705,578.333,571.498
125,2.085417,16,0.192764,763.449,286.949
125,2.085417,18,0.292366,820.858,446.430
126,2.102100,16,0.330454,764.955,305.568
126,2.102100,18,0.292366,814.053,441.973
127,2.118783,16,0.555707,766.517,326.346
127,2.118783,18,0.292366,807.248,437.516
128,2.135467,16,0.181364,767.963,349.076
129,2.152150,16,0.751982,769.169,373.282
130,2.168833,16,0.643588,770.712,399.477
131,2.185517,16,0.458368,772.230,427.793
132,2.202200,16,0.336853,773.563,458.091
133,2.218883,16,0.641925,774.417,489.141
134,2.235567,16,0.641925,775.699,515.688
135,2.252250,16,0.388478,774.330,540.447
135,2.252250,20,0.309557,560.620,243.487
136,2.268933,16,0.227275,774.930,562.157
136,2.268933,20,0.748036,558.693,229.630
137,2.285617,16,0.227275,775.514,587.072
137,2.285617,20,0.268133,556.001,215.615
138,2.302300,16,0.227275,776.098,611.986
138,2.302300,20,0.777765,553.683,202.739
139,2.318983,16,0.227275,776.682,636.901
139,2.318983,20,0.725338,551.209,191.764
140,2.335667,16,0.227275,777.265,661.816
140,2.335667,20,0.631452,548.681,182.793
140,2.335667,21,0.666155,527.666,526.731
141,2.352350,16,0.227275,777.849,686.731
141,2.352350,20,0.388758,546.434,176.041
141,2.352350,21,0.666155,528.023,531.362
141,2.352350,22,0.365500,787.336,608.255
142,2.369033,20,0.691889,544.144,171.744
142,2.369033,21,0.666155,528.380,535.993
142,2.369033,22,0.407971,789.114,612.503
143,2.385717,20,0.654679,541.912,169.593
143,2.385717,21,0.666155,528.738,540.624
143,2.385717,22,0.619523,790.922,614.305
143,2.385717,23,0.370270,539.782,582.116
144,2.402400,20,0.568650,539.654,169.665
144,2.402400,22,0.522689,792.305,612.945
144,2.402400,23,0.443265,547.188,590.684
145,2.419083,20,0.381116,537.482,171.987
145,2.419083,22,0.680572,792.875,608.502
145,2.419083,23,0.719416,555.804,595.381
146,2.435767,20,0.291023,535.265,176.360
146,2.435767,22,0.413839,792.508,600.639
146,2.435767,23,0.348110,564.464,594.216
147,2.452450,20,0.344644,533.013,183.068
147,2.452450,22,0.204762,791.002,590.160
147,2.452450,23,0.525464,572.053,586.817
148,2.469133,20,0.298531,530.887,191.611
148,2.469133,22,0.191334,788.300,576.132
148,2.469133,23,0.525464,578.791,586.892
