clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
43,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00043_source-38_candidate-39_gap-6_rank-1_error-57.37.mp4,38,39,6,57.366993,538,545,1
44,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00044_source-38_candidate-40_gap-10_rank-2_error-80.55.mp4,38,40,10,80.551361,538,549,2
45,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00045_source-39_candidate-47_gap-3_rank-1_error-14.71.mp4,39,47,3,14.709662,681,685,1
46,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00046_source-39_candidate-48_gap-9_rank-2_error-624.48.mp4,39,48,9,624.476255,681,691,2
47,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00047_source-40_candidate-41_gap-3_rank-1_error-7.53.mp4,40,41,3,7.52788,587,591,1
48,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00048_source-40_candidate-42_gap-5_rank-2_error-222.71.mp4,40,42,5,222.7078,587,593,2
49,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00049_source-41_candidate-43_gap-7_rank-1_error-9.01.mp4,41,43,7,9.009177,613,621,1
50,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00050_source-41_candidate-44_gap-9_rank-2_error-279.24.mp4,41,44,9,279.241266,613,623,2
51,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00051_source-43_candidate-45_gap-4_rank-1_error-6.35.mp4,43,45,4,6.349576,626,631,1
52,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00052_source-44_candidate-53_gap-5_rank-1_error-393.61.mp4,44,53,5,393.605215,785,791,1
53,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00053_source-45_candidate-46_gap-3_rank-1_error-8.48.mp4,45,46,3,8.48101,675,679,1
54,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00054_source-45_candidate-47_gap-9_rank-2_error-182.17.mp4,45,47,9,182.171113,675,685,2
55,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00055_source-47_candidate-52_gap-3_rank-1_error-25.07.mp4,47,52,3,25.073314,771,775,1
56,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00056_source-50_candidate-55_gap-0_rank-1_error-90.85.mp4,50,55,0,90.852687,810,811,1
57,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00057_source-50_candidate-56_gap-3_rank-2_error-157.39.mp4,50,56,3,157.394301,810,814,2
58,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00058_source-51_candidate-52_gap-4_rank-1_error-59.26.mp4,51,52,4,59.258427,770,775,1
59,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00059_source-52_candidate-53_gap-5_rank-1_error-358.01.mp4,52,53,5,358.010666,785,791,1
60,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00060_source-53_candidate-58_gap-10_rank-1_error-487.54.mp4,53,58,10,487.539599,844,855,1
61,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00061_source-54_candidate-57_gap-3_rank-1_error-119.95.mp4,54,57,3,119.945574,835,839,1
62,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00062_source-56_candidate-57_gap-4_rank-1_error-256.47.mp4,56,57,4,256.470427,834,839,1
63,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00063_source-57_candidate-63_gap-4_rank-1_error-669.98.mp4,57,63,4,669.978035,885,890,1
64,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00064_source-59_candidate-61_gap-8_rank-1_error-210.94.mp4,59,61,8,210.937636,874,883,1
65,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00065_source-59_candidate-62_gap-10_rank-2_error-357.07.mp4,59,62,10,357.070626,874,885,2
66,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00066_source-60_candidate-64_gap-2_rank-1_error-112.14.mp4,60,64,2,112.144531,941,944,1
67,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00067_source-62_candidate-66_gap-3_rank-1_error-80.11.mp4,62,66,3,80.112119,953,957,1
68,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00068_source-62_candidate-65_gap-2_rank-2_error-121.98.mp4,62,65,2,121.984475,953,956,2
69,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00069_source-63_candidate-66_gap-6_rank-1_error-362.33.mp4,63,66,6,362.333129,950,957,1
70,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00070_source-63_candidate-65_gap-5_rank-2_error-370.61.mp4,63,65,5,370.612723,950,956,2
71,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00071_source-64_candidate-68_gap-0_rank-1_error-144.70.mp4,64,68,0,144.702691,969,970,1
72,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00072_source-64_candidate-69_gap-7_rank-2_error-409.53.mp4,64,69,7,409.525993,969,977,2
73,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00073_source-65_candidate-69_gap-1_rank-1_error-257.55.mp4,65,69,1,257.553185,975,977,1
74,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00074_source-66_candidate-69_gap-7_rank-1_error-177.49.mp4,66,69,7,177.494931,969,977,1
75,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00075_source-66_candidate-68_gap-0_rank-2_error-261.14.mp4,66,68,0,261.144339,969,970,2
76,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00076_source-67_candidate-70_gap-3_rank-1_error-128.81.mp4,67,70,3,128.812961,1025,1029,1
77,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00077_source-67_candidate-72_gap-3_rank-2_error-308.34.mp4,67,72,3,308.336286,1025,1029,2
78,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00078_source-67_candidate-71_gap-3_rank-3_error-393.99.mp4,67,71,3,393.987259,1025,1029,3
79,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00079_source-68_candidate-71_gap-8_rank-1_error-491.91.mp4,68,71,8,491.911207,1020,1029,1
80,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00080_source-68_candidate-72_gap-8_rank-2_error-596.64.mp4,68,72,8,596.642255,1020,1029,2
