frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
672,FINALIZATION,27,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
709,FINALIZATION,29,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
716,FINALIZATION,30,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
725,FINALIZATION,33,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
743,FINALIZATION,31,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
758,FINALIZATION,28,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
787,FINALIZATION,34,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
853,FINALIZATION,32,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
853,FINALIZATION,38,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
878,FINALIZATION,26,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
888,FINALIZATION,39,UNRESOLVED_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
899,FINALIZATION,36,VIDEO_END_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
899,FINALIZATION,43,VIDEO_END_PENDING_ENTRY,,,T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT},T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT};T32:{RIGHT};T38:{LEFT};T26:{RIGHT};T39:{LEFT};T36:{RIGHT};T43:{LEFT}
