track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
38,START,831,630.467000,232.498000,RIGHT,200.901926,193.303795,2.969550,2.857241,5,APPROACHING,-1.464310,FAR,0,0,{},,0,far
38,END,853,665.190000,421.797000,LEFT,10.759287,10.759287,0.161665,0.161665,5,APPROACHING,-3.909909,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
38,END,853,665.190000,421.797000,RIGHT,98.923408,98.923408,1.486385,1.486385,5,APPROACHING,-9.782068,FAR,0,0,{LEFT},LEFT,0,far
39,START,836,602.829000,310.480000,LEFT,149.324632,149.324632,2.165443,2.165443,5,SEPARATING,1.313119,FAR,0,0,{},,0,far
39,START,836,602.829000,310.480000,RIGHT,131.073798,131.073798,1.900777,1.900777,5,SEPARATING,13.586132,FAR,0,0,{},,0,far
39,END,888,656.551000,474.584000,LEFT,13.176002,11.251541,0.188522,0.160987,5,APPROACHING,-2.460778,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
39,END,888,656.551000,474.584000,RIGHT,125.832611,115.570928,1.800412,1.653588,5,SEPARATING,2.709492,FAR,0,0,{LEFT},LEFT,0,far
40,START,861,592.197000,341.411000,LEFT,126.712875,126.712875,1.852663,1.852663,5,SEPARATING,4.380683,FAR,0,0,{},,0,far
40,START,861,592.197000,341.411000,RIGHT,89.448992,89.448992,1.307829,1.307829,5,SEPARATING,13.141169,FAR,0,0,{},,0,far
40,END,899,645.798000,298.032000,LEFT,127.447836,127.447836,1.876026,1.876026,5,APPROACHING,-12.790900,FAR,0,0,{},,0,far
40,END,899,645.798000,298.032000,RIGHT,175.710177,175.710177,2.586446,2.586446,5,APPROACHING,-4.326629,FAR,0,0,{},,0,far
